name,url,promoted_content,query,tweet_volume
#happybirthdayjhope,http://twitter.com/search?q=%23happybirthdayjhope,,%23happybirthdayjhope,702941
#uarourhope,http://twitter.com/search?q=%23uarourhope,,%23uarourhope,385003
#Wordle244,http://twitter.com/search?q=%23Wordle244,,%23Wordle244,
#HopeRightHere,http://twitter.com/search?q=%23HopeRightHere,,%23HopeRightHere,302821
#OurEternalHope,http://twitter.com/search?q=%23OurEternalHope,,%23OurEternalHope,167245
Ferran,http://twitter.com/search?q=Ferran,,Ferran,34450
Dembele,http://twitter.com/search?q=Dembele,,Dembele,12916
dortmund,http://twitter.com/search?q=dortmund,,dortmund,46779
Singapore,http://twitter.com/search?q=Singapore,,Singapore,50989
Rangers,http://twitter.com/search?q=Rangers,,Rangers,48659
Auba,http://twitter.com/search?q=Auba,,Auba,
Pedri,http://twitter.com/search?q=Pedri,,Pedri,12819
Pique,http://twitter.com/search?q=Pique,,Pique,20521
Adama,http://twitter.com/search?q=Adama,,Adama,20355
Invincible Sushant,http://twitter.com/search?q=%22Invincible+Sushant%22,,%22Invincible+Sushant%22,24791
Nehru's India,http://twitter.com/search?q=%22Nehru%27s+India%22,,%22Nehru%27s+India%22,
Chintu,http://twitter.com/search?q=Chintu,,Chintu,
Azam Khan,http://twitter.com/search?q=%22Azam+Khan%22,,%22Azam+Khan%22,
Nico,http://twitter.com/search?q=Nico,,Nico,128863
junmyeon,http://twitter.com/search?q=junmyeon,,junmyeon,119380
Bill Gates,http://twitter.com/search?q=%22Bill+Gates%22,,%22Bill+Gates%22,29489
bjp willbring kartarpursahib,http://twitter.com/search?q=%22bjp+willbring+kartarpursahib%22,,%22bjp+willbring+kartarpursahib%22,19115
Suho,http://twitter.com/search?q=Suho,,Suho,154647
HAPPY BIRTHDAY KING,http://twitter.com/search?q=%22HAPPY+BIRTHDAY+KING%22,,%22HAPPY+BIRTHDAY+KING%22,22693
Happiest Birthday,http://twitter.com/search?q=%22Happiest+Birthday%22,,%22Happiest+Birthday%22,60578
vernon,http://twitter.com/search?q=vernon,,vernon,334935
Hoba,http://twitter.com/search?q=Hoba,,Hoba,21055
UMAR X VISHAL MV SOON,http://twitter.com/search?q=%22UMAR+X+VISHAL+MV+SOON%22,,%22UMAR+X+VISHAL+MV+SOON%22,240086
vmin,http://twitter.com/search?q=vmin,,vmin,16493
ET TEASER GALA TMRW,http://twitter.com/search?q=%22ET+TEASER+GALA+TMRW%22,,%22ET+TEASER+GALA+TMRW%22,116202
Vlive,http://twitter.com/search?q=Vlive,,Vlive,213483
Kumar Vishwas,http://twitter.com/search?q=%22Kumar+Vishwas%22,,%22Kumar+Vishwas%22,43720
Masi,http://twitter.com/search?q=Masi,,Masi,83764
ChaniPriynka Hates UPBihar,http://twitter.com/search?q=%22ChaniPriynka+Hates+UPBihar%22,,%22ChaniPriynka+Hates+UPBihar%22,18671
Liquid Cooling System,http://twitter.com/search?q=%22Liquid+Cooling+System%22,,%22Liquid+Cooling+System%22,
Ferrari,http://twitter.com/search?q=Ferrari,,Ferrari,66655
doyoung,http://twitter.com/search?q=doyoung,,doyoung,217391
#OurFebruaryMiracle,http://twitter.com/search?q=%23OurFebruaryMiracle,,%23OurFebruaryMiracle,240670
#BarcaNapoli,http://twitter.com/search?q=%23BarcaNapoli,,%23BarcaNapoli,26802
#uarmyhope,http://twitter.com/search?q=%23uarmyhope,,%23uarmyhope,28570
#PrideOfGwangjuDay,http://twitter.com/search?q=%23PrideOfGwangjuDay,,%23PrideOfGwangjuDay,217322
#StrangerThings4,http://twitter.com/search?q=%23StrangerThings4,,%23StrangerThings4,28908
#ArrestRanaAyyub,http://twitter.com/search?q=%23ArrestRanaAyyub,,%23ArrestRanaAyyub,
#HOSEOK,http://twitter.com/search?q=%23HOSEOK,,%23HOSEOK,71507
#Threat2Women_BanRSS,http://twitter.com/search?q=%23Threat2Women_BanRSS,,%23Threat2Women_BanRSS,130226
#EuropaLeague,http://twitter.com/search?q=%23EuropaLeague,,%23EuropaLeague,
#AThursday,http://twitter.com/search?q=%23AThursday,,%23AThursday,
#WeMissUShehnaaz,http://twitter.com/search?q=%23WeMissUShehnaaz,,%23WeMissUShehnaaz,41547
#GovernanceOfAAP,http://twitter.com/search?q=%23GovernanceOfAAP,,%23GovernanceOfAAP,20517
#제이홉이란_사랑으로_수_놓아진_별,http://twitter.com/search?q=%23%EC%A0%9C%EC%9D%B4%ED%99%89%EC%9D%B4%EB%9E%80_%EC%82%AC%EB%9E%91%EC%9C%BC%EB%A1%9C_%EC%88%98_%EB%86%93%EC%95%84%EC%A7%84_%EB%B3%84,,%23%EC%A0%9C%EC%9D%B4%ED%99%89%EC%9D%B4%EB%9E%80_%EC%82%AC%EB%9E%91%EC%9C%BC%EB%A1%9C_%EC%88%98_%EB%86%93%EC%95%84%EC%A7%84_%EB%B3%84,77928
