name,url,promoted_content,query,tweet_volume
#CSKvsMI,http://twitter.com/search?q=%23CSKvsMI,,%23CSKvsMI,22148
#WHUMUN,http://twitter.com/search?q=%23WHUMUN,,%23WHUMUN,102918
#IPL2021,http://twitter.com/search?q=%23IPL2021,,%23IPL2021,95740
Lingard,http://twitter.com/search?q=Lingard,,Lingard,75752
#MUFC,http://twitter.com/search?q=%23MUFC,,%23MUFC,134663
#CharanjitSinghChanni,http://twitter.com/search?q=%23CharanjitSinghChanni,,%23CharanjitSinghChanni,22622
De Gea,http://twitter.com/search?q=%22De+Gea%22,,%22De+Gea%22,120533
Dhoni,http://twitter.com/search?q=Dhoni,,Dhoni,52280
Dave,http://twitter.com/search?q=Dave,,Dave,51542
Milne,http://twitter.com/search?q=Milne,,Milne,
Thala,http://twitter.com/search?q=Thala,,Thala,88890
West Ham,http://twitter.com/search?q=%22West+Ham%22,,%22West+Ham%22,102974
Raina,http://twitter.com/search?q=Raina,,Raina,17417
Dalit,http://twitter.com/search?q=Dalit,,Dalit,21347
Boult,http://twitter.com/search?q=Boult,,Boult,
Martin Atkinson,http://twitter.com/search?q=%22Martin+Atkinson%22,,%22Martin+Atkinson%22,
Maguire,http://twitter.com/search?q=Maguire,,Maguire,18815
Happiness Is You Sushant,http://twitter.com/search?q=%22Happiness+Is+You+Sushant%22,,%22Happiness+Is+You+Sushant%22,10512
Gaikwad,http://twitter.com/search?q=Gaikwad,,Gaikwad,
Noble,http://twitter.com/search?q=Noble,,Noble,69523
Zouma,http://twitter.com/search?q=Zouma,,Zouma,13551
Krunal Pandya,http://twitter.com/search?q=%22Krunal+Pandya%22,,%22Krunal+Pandya%22,
Bumrah,http://twitter.com/search?q=Bumrah,,Bumrah,
Matic,http://twitter.com/search?q=Matic,,Matic,84753
Hardik,http://twitter.com/search?q=Hardik,,Hardik,
CM of Punjab,http://twitter.com/search?q=%22CM+of+Punjab%22,,%22CM+of+Punjab%22,28288
Rayudu,http://twitter.com/search?q=Rayudu,,Rayudu,
McTominay,http://twitter.com/search?q=McTominay,,McTominay,14109
Neeraj Chopra,http://twitter.com/search?q=%22Neeraj+Chopra%22,,%22Neeraj+Chopra%22,
JASMIN X AMAAL SOON,http://twitter.com/search?q=%22JASMIN+X+AMAAL+SOON%22,,%22JASMIN+X+AMAAL+SOON%22,31908
Ishan Kishan,http://twitter.com/search?q=%22Ishan+Kishan%22,,%22Ishan+Kishan%22,
चरणजीत सिंह चन्नी,http://twitter.com/search?q=%22%E0%A4%9A%E0%A4%B0%E0%A4%A3%E0%A4%9C%E0%A5%80%E0%A4%A4+%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9+%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A5%80%22,,%22%E0%A4%9A%E0%A4%B0%E0%A4%A3%E0%A4%9C%E0%A5%80%E0%A4%A4+%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9+%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A5%80%22,25912
1M LIKES FOR RIMJHIM,http://twitter.com/search?q=%221M+LIKES+FOR+RIMJHIM%22,,%221M+LIKES+FOR+RIMJHIM%22,
Saurabh Tiwary,http://twitter.com/search?q=%22Saurabh+Tiwary%22,,%22Saurabh+Tiwary%22,
Greenwood,http://twitter.com/search?q=Greenwood,,Greenwood,20399
Match,http://twitter.com/search?q=Match,,Match,303623
Fabianski,http://twitter.com/search?q=Fabianski,,Fabianski,
Shaw,http://twitter.com/search?q=Shaw,,Shaw,21567
JO TERA HOWEGA TEASER,http://twitter.com/search?q=%22JO+TERA+HOWEGA+TEASER%22,,%22JO+TERA+HOWEGA+TEASER%22,17281
McFred,http://twitter.com/search?q=McFred,,McFred,
दलित मुख्यमंत्री,http://twitter.com/search?q=%22%E0%A4%A6%E0%A4%B2%E0%A4%BF%E0%A4%A4+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%22,,%22%E0%A4%A6%E0%A4%B2%E0%A4%BF%E0%A4%A4+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%22,20641
Mendy,http://twitter.com/search?q=Mendy,,Mendy,10867
CSK Fans,http://twitter.com/search?q=%22CSK+Fans%22,,%22CSK+Fans%22,
#MeToo,http://twitter.com/search?q=%23MeToo,,%23MeToo,16554
#ManUtd,http://twitter.com/search?q=%23ManUtd,,%23ManUtd,
#MyntraBFFisMyBFF,http://twitter.com/search?q=%23MyntraBFFisMyBFF,,%23MyntraBFFisMyBFF,
#GGMU,http://twitter.com/search?q=%23GGMU,,%23GGMU,
#WaitingForMyntraBFF,http://twitter.com/search?q=%23WaitingForMyntraBFF,,%23WaitingForMyntraBFF,
#MUNWHU,http://twitter.com/search?q=%23MUNWHU,,%23MUNWHU,
#4MforSivaangi,http://twitter.com/search?q=%234MforSivaangi,,%234MforSivaangi,228283
