name,url,promoted_content,query,tweet_volume
#KBFC,http://twitter.com/search?q=%23KBFC,,%23KBFC,
#YennumYellow,http://twitter.com/search?q=%23YennumYellow,,%23YennumYellow,
#keralablasters,http://twitter.com/search?q=%23keralablasters,,%23keralablasters,
3DAYS FOR BACHCHHAN PAANDEY,http://twitter.com/search?q=%223DAYS+FOR+BACHCHHAN+PAANDEY%22,,%223DAYS+FOR+BACHCHHAN+PAANDEY%22,41120
#MsMarvel,http://twitter.com/search?q=%23MsMarvel,,%23MsMarvel,63827
#PrithviAmbani,http://twitter.com/search?q=%23PrithviAmbani,,%23PrithviAmbani,
IPZN TURNS ONE,http://twitter.com/search?q=%22IPZN+TURNS+ONE%22,,%22IPZN+TURNS+ONE%22,22196
one yr of fatejo,http://twitter.com/search?q=%22one+yr+of+fatejo%22,,%22one+yr+of+fatejo%22,33428
United For Sushant Family,http://twitter.com/search?q=%22United+For+Sushant+Family%22,,%22United+For+Sushant+Family%22,13895
Finals,http://twitter.com/search?q=Finals,,Finals,30057
Middlesbrough,http://twitter.com/search?q=Middlesbrough,,Middlesbrough,26051
NIGHTS N FIGHTS POSTER OUT NOW,http://twitter.com/search?q=%22NIGHTS+N+FIGHTS+POSTER+OUT+NOW%22,,%22NIGHTS+N+FIGHTS+POSTER+OUT+NOW%22,73439
Babar Azam,http://twitter.com/search?q=%22Babar+Azam%22,,%22Babar+Azam%22,22010
Parzania,http://twitter.com/search?q=Parzania,,Parzania,
LISA IN ETERNAL CITY,http://twitter.com/search?q=%22LISA+IN+ETERNAL+CITY%22,,%22LISA+IN+ETERNAL+CITY%22,849025
Luna,http://twitter.com/search?q=Luna,,Luna,156175
Supreme Court,http://twitter.com/search?q=%22Supreme+Court%22,,%22Supreme+Court%22,119322
Karnataka HC,http://twitter.com/search?q=%22Karnataka+HC%22,,%22Karnataka+HC%22,36074
Burqa,http://twitter.com/search?q=Burqa,,Burqa,
Genuine,http://twitter.com/search?q=Genuine,,Genuine,61529
Zomato,http://twitter.com/search?q=Zomato,,Zomato,
Eklavya,http://twitter.com/search?q=Eklavya,,Eklavya,
