name,url,promoted_content,query,tweet_volume
पूर्व मुख्यमंत्री,http://twitter.com/search?q=%22%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%B5+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%22,,%22%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%B5+%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%82%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%22,14693
#OperationGandaJal,http://twitter.com/search?q=%23OperationGandaJal,,%23OperationGandaJal,
I AM THE VOICE OF SUSHANT,http://twitter.com/search?q=%22I+AM+THE+VOICE+OF+SUSHANT%22,,%22I+AM+THE+VOICE+OF+SUSHANT%22,32256
#Voiceofunity,http://twitter.com/search?q=%23Voiceofunity,,%23Voiceofunity,11000
Our Guardian Angel Sushant,http://twitter.com/search?q=%22Our+Guardian+Angel+Sushant%22,,%22Our+Guardian+Angel+Sushant%22,17890
#NovyKapadia,http://twitter.com/search?q=%23NovyKapadia,,%23NovyKapadia,
#InternationalMensDay,http://twitter.com/search?q=%23InternationalMensDay,,%23InternationalMensDay,22276
KAI MOOD SAMPLER 1,http://twitter.com/search?q=%22KAI+MOOD+SAMPLER+1%22,,%22KAI+MOOD+SAMPLER+1%22,221959
amazon racket busted,http://twitter.com/search?q=%22amazon+racket+busted%22,,%22amazon+racket+busted%22,
Sikhs,http://twitter.com/search?q=Sikhs,,Sikhs,21272
8 DAYS TO ANTIM MANIA,http://twitter.com/search?q=%228+DAYS+TO+ANTIM+MANIA%22,,%228+DAYS+TO+ANTIM+MANIA%22,19079
Indian Football,http://twitter.com/search?q=%22Indian+Football%22,,%22Indian+Football%22,
ZMGA HITS CENTURY,http://twitter.com/search?q=%22ZMGA+HITS+CENTURY%22,,%22ZMGA+HITS+CENTURY%22,
Arunachal Pradesh,http://twitter.com/search?q=%22Arunachal+Pradesh%22,,%22Arunachal+Pradesh%22,
IPOs,http://twitter.com/search?q=IPOs,,IPOs,
Rest In Peace,http://twitter.com/search?q=%22Rest+In+Peace%22,,%22Rest+In+Peace%22,142849
Sharad Pawar,http://twitter.com/search?q=%22Sharad+Pawar%22,,%22Sharad+Pawar%22,
Gurudwara,http://twitter.com/search?q=Gurudwara,,Gurudwara,17142
Chetan,http://twitter.com/search?q=Chetan,,Chetan,11167
SEBI,http://twitter.com/search?q=SEBI,,SEBI,
NDTV,http://twitter.com/search?q=NDTV,,NDTV,45713
Masjid,http://twitter.com/search?q=Masjid,,Masjid,16110
#CatchParamBir,http://twitter.com/search?q=%23CatchParamBir,,%23CatchParamBir,
#BengaluruRains,http://twitter.com/search?q=%23BengaluruRains,,%23BengaluruRains,
#मर्द_असुरक्षित_है,http://twitter.com/search?q=%23%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%A6_%E0%A4%85%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%A4_%E0%A4%B9%E0%A5%88,,%23%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%A6_%E0%A4%85%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%A4_%E0%A4%B9%E0%A5%88,14059
#DOCTORinNetflixGlobalTOP10,http://twitter.com/search?q=%23DOCTORinNetflixGlobalTOP10,,%23DOCTORinNetflixGlobalTOP10,
#카이복숭아_피치올려,http://twitter.com/search?q=%23%EC%B9%B4%EC%9D%B4%EB%B3%B5%EC%88%AD%EC%95%84_%ED%94%BC%EC%B9%98%EC%98%AC%EB%A0%A4,,%23%EC%B9%B4%EC%9D%B4%EB%B3%B5%EC%88%AD%EC%95%84_%ED%94%BC%EC%B9%98%EC%98%AC%EB%A0%A4,164016
#10YearsOfUpAllNight,http://twitter.com/search?q=%2310YearsOfUpAllNight,,%2310YearsOfUpAllNight,58468
#சாதிசாக்கடை_சீமான்,http://twitter.com/search?q=%23%E0%AE%9A%E0%AE%BE%E0%AE%A4%E0%AE%BF%E0%AE%9A%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%9F%E0%AF%88_%E0%AE%9A%E0%AF%80%E0%AE%AE%E0%AE%BE%E0%AE%A9%E0%AF%8D,,%23%E0%AE%9A%E0%AE%BE%E0%AE%A4%E0%AE%BF%E0%AE%9A%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%9F%E0%AF%88_%E0%AE%9A%E0%AF%80%E0%AE%AE%E0%AE%BE%E0%AE%A9%E0%AF%8D,
