name,url,promoted_content,query,tweet_volume
#GodMorningSunday,http://twitter.com/search?q=%23GodMorningSunday,,%23GodMorningSunday,90796
#अवैध_मजार_हटाओ,http://twitter.com/search?q=%23%E0%A4%85%E0%A4%B5%E0%A5%88%E0%A4%A7_%E0%A4%AE%E0%A4%9C%E0%A4%BE%E0%A4%B0_%E0%A4%B9%E0%A4%9F%E0%A4%BE%E0%A4%93,,%23%E0%A4%85%E0%A4%B5%E0%A5%88%E0%A4%A7_%E0%A4%AE%E0%A4%9C%E0%A4%BE%E0%A4%B0_%E0%A4%B9%E0%A4%9F%E0%A4%BE%E0%A4%93,273839
आर्यन खान,http://twitter.com/search?q=%22%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%A8+%E0%A4%96%E0%A4%BE%E0%A4%A8%22,,%22%E0%A4%86%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%A8+%E0%A4%96%E0%A4%BE%E0%A4%A8%22,71285
#sundayvibes,http://twitter.com/search?q=%23sundayvibes,,%23sundayvibes,29177
Bengal,http://twitter.com/search?q=Bengal,,Bengal,29479
#ShamitaShetty,http://twitter.com/search?q=%23ShamitaShetty,,%23ShamitaShetty,17671
#JusticeForSushantSinghRajput,http://twitter.com/search?q=%23JusticeForSushantSinghRajput,,%23JusticeForSushantSinghRajput,20897
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,232657
Foden,http://twitter.com/search?q=Foden,,Foden,53358
Milner,http://twitter.com/search?q=Milner,,Milner,39402
Mo Salah,http://twitter.com/search?q=%22Mo+Salah%22,,%22Mo+Salah%22,56169
Bollywood Your Nemesis's Here,http://twitter.com/search?q=%22Bollywood+Your+Nemesis%27s+Here%22,,%22Bollywood+Your+Nemesis%27s+Here%22,27873
Umran Malik,http://twitter.com/search?q=%22Umran+Malik%22,,%22Umran+Malik%22,
Om Shanti,http://twitter.com/search?q=%22Om+Shanti%22,,%22Om+Shanti%22,11421
BOLLY DRUGGIES SHAMING NATION,http://twitter.com/search?q=%22BOLLY+DRUGGIES+SHAMING+NATION%22,,%22BOLLY+DRUGGIES+SHAMING+NATION%22,43255
WE LOVE SHAH RUKH KHAN,http://twitter.com/search?q=%22WE+LOVE+SHAH+RUKH+KHAN%22,,%22WE+LOVE+SHAH+RUKH+KHAN%22,27751
namjoon,http://twitter.com/search?q=namjoon,,namjoon,322199
3 BJP,http://twitter.com/search?q=%223+BJP%22,,%223+BJP%22,24927
Rodri,http://twitter.com/search?q=Rodri,,Rodri,17665
Fabinho,http://twitter.com/search?q=Fabinho,,Fabinho,11548
At 23,http://twitter.com/search?q=%22At+23%22,,%22At+23%22,2048369
Klopp,http://twitter.com/search?q=Klopp,,Klopp,73402
Anfield,http://twitter.com/search?q=Anfield,,Anfield,39723
4 BJP,http://twitter.com/search?q=%224+BJP%22,,%224+BJP%22,
Matip,http://twitter.com/search?q=Matip,,Matip,
Khalistani,http://twitter.com/search?q=Khalistani,,Khalistani,
Kisan,http://twitter.com/search?q=Kisan,,Kisan,18852
Henderson,http://twitter.com/search?q=Henderson,,Henderson,18126
Gill,http://twitter.com/search?q=Gill,,Gill,26065
Man City,http://twitter.com/search?q=%22Man+City%22,,%22Man+City%22,62842
Mannat,http://twitter.com/search?q=Mannat,,Mannat,
Hendo,http://twitter.com/search?q=Hendo,,Hendo,
Bernardo Silva,http://twitter.com/search?q=%22Bernardo+Silva%22,,%22Bernardo+Silva%22,19402
Mane,http://twitter.com/search?q=Mane,,Mane,56884
Ajay Mishra,http://twitter.com/search?q=%22Ajay+Mishra%22,,%22Ajay+Mishra%22,40261
Thiago,http://twitter.com/search?q=Thiago,,Thiago,21372
Manchester City,http://twitter.com/search?q=%22Manchester+City%22,,%22Manchester+City%22,45973
Salman Khan,http://twitter.com/search?q=%22Salman+Khan%22,,%22Salman+Khan%22,14520
WHAT A GAME,http://twitter.com/search?q=%22WHAT+A+GAME%22,,%22WHAT+A+GAME%22,57017
Ederson,http://twitter.com/search?q=Ederson,,Ederson,11657
De Bruyne,http://twitter.com/search?q=%22De+Bruyne%22,,%22De+Bruyne%22,22887
pradeep bhandari,http://twitter.com/search?q=%22pradeep+bhandari%22,,%22pradeep+bhandari%22,
Yogi,http://twitter.com/search?q=Yogi,,Yogi,17611
Grealish,http://twitter.com/search?q=Grealish,,Grealish,25830
Alisson,http://twitter.com/search?q=Alisson,,Alisson,11047
Nacho,http://twitter.com/search?q=Nacho,,Nacho,28586
#लखीमपुर_किसान_नरसंहार,http://twitter.com/search?q=%23%E0%A4%B2%E0%A4%96%E0%A5%80%E0%A4%AE%E0%A4%AA%E0%A5%81%E0%A4%B0_%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8_%E0%A4%A8%E0%A4%B0%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BE%E0%A4%B0,,%23%E0%A4%B2%E0%A4%96%E0%A5%80%E0%A4%AE%E0%A4%AA%E0%A5%81%E0%A4%B0_%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8_%E0%A4%A8%E0%A4%B0%E0%A4%B8%E0%A4%82%E0%A4%B9%E0%A4%BE%E0%A4%B0,231506
#LIVMCI,http://twitter.com/search?q=%23LIVMCI,,%23LIVMCI,93982
#Lakhimpur,http://twitter.com/search?q=%23Lakhimpur,,%23Lakhimpur,80672
#KKRvSRH,http://twitter.com/search?q=%23KKRvSRH,,%23KKRvSRH,12353
