name,url,promoted_content,query,tweet_volume
#VijayDiwas,http://twitter.com/search?q=%23VijayDiwas,,%23VijayDiwas,63485
#PakSurrenderDay,http://twitter.com/search?q=%23PakSurrenderDay,,%23PakSurrenderDay,49185
#1971War,http://twitter.com/search?q=%231971War,,%231971War,12651
#16December,http://twitter.com/search?q=%2316December,,%2316December,
#विजय_दिवस,http://twitter.com/search?q=%23%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,,%23%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,10633
Bangladesh,http://twitter.com/search?q=Bangladesh,,Bangladesh,51940
भारतीय सेना,http://twitter.com/search?q=%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%87%E0%A4%A8%E0%A4%BE%22,,%22%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%80%E0%A4%AF+%E0%A4%B8%E0%A5%87%E0%A4%A8%E0%A4%BE%22,29940
Indian Army,http://twitter.com/search?q=%22Indian+Army%22,,%22Indian+Army%22,17102
SNOWDROP PRESSCON,http://twitter.com/search?q=%22SNOWDROP+PRESSCON%22,,%22SNOWDROP+PRESSCON%22,322149
CBI UPDATE ON SSR MURDER CASE,http://twitter.com/search?q=%22CBI+UPDATE+ON+SSR+MURDER+CASE%22,,%22CBI+UPDATE+ON+SSR+MURDER+CASE%22,28980
93,000 Pakistani,http://twitter.com/search?q=%2293%2C000+Pakistani%22,,%2293%2C000+Pakistani%22,
93000 JAI HIND,http://twitter.com/search?q=%2293000+JAI+HIND%22,,%2293000+JAI+HIND%22,
Pakistan in the 1971,http://twitter.com/search?q=%22Pakistan+in+the+1971%22,,%22Pakistan+in+the+1971%22,12499
National War Memorial,http://twitter.com/search?q=%22National+War+Memorial%22,,%22National+War+Memorial%22,
