name,url,promoted_content,query,tweet_volume
#WATMUN,http://twitter.com/search?q=%23WATMUN,,%23WATMUN,88993
#OleOut,http://twitter.com/search?q=%23OleOut,,%23OleOut,82476
#MUFC,http://twitter.com/search?q=%23MUFC,,%23MUFC,136036
Watford,http://twitter.com/search?q=Watford,,Watford,181164
Messi,http://twitter.com/search?q=Messi,,Messi,190131
Maguire,http://twitter.com/search?q=Maguire,,Maguire,112260
#LIVARS,http://twitter.com/search?q=%23LIVARS,,%23LIVARS,51620
Arteta,http://twitter.com/search?q=Arteta,,Arteta,31577
Manchester United,http://twitter.com/search?q=%22Manchester+United%22,,%22Manchester+United%22,148621
#OleIn,http://twitter.com/search?q=%23OleIn,,%23OleIn,20521
Mane,http://twitter.com/search?q=Mane,,Mane,54130
Ramsdale,http://twitter.com/search?q=Ramsdale,,Ramsdale,28135
Klopp,http://twitter.com/search?q=Klopp,,Klopp,27373
Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,97905
Donny,http://twitter.com/search?q=Donny,,Donny,132923
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,118213
Megan,http://twitter.com/search?q=Megan,,Megan,55248
Sancho,http://twitter.com/search?q=Sancho,,Sancho,43555
Sarr,http://twitter.com/search?q=Sarr,,Sarr,28241
Aguero,http://twitter.com/search?q=Aguero,,Aguero,31422
Sushant Legacy Never Ends,http://twitter.com/search?q=%22Sushant+Legacy+Never+Ends%22,,%22Sushant+Legacy+Never+Ends%22,24751
Chelsea,http://twitter.com/search?q=Chelsea,,Chelsea,203479
De Gea,http://twitter.com/search?q=%22De+Gea%22,,%22De+Gea%22,43476
ANTIM IN THEATRES FROM 26NOV,http://twitter.com/search?q=%22ANTIM+IN+THEATRES+FROM+26NOV%22,,%22ANTIM+IN+THEATRES+FROM+26NOV%22,41837
Matic,http://twitter.com/search?q=Matic,,Matic,93825
Zidane,http://twitter.com/search?q=Zidane,,Zidane,20229
Glazers,http://twitter.com/search?q=Glazers,,Glazers,11829
D GANG ACTIVE IN BWOOD,http://twitter.com/search?q=%22D+GANG+ACTIVE+IN+BWOOD%22,,%22D+GANG+ACTIVE+IN+BWOOD%22,28582
McTominay,http://twitter.com/search?q=McTominay,,McTominay,14323
Ben Foster,http://twitter.com/search?q=%22Ben+Foster%22,,%22Ben+Foster%22,
Martial,http://twitter.com/search?q=Martial,,Martial,18555
Thiago,http://twitter.com/search?q=Thiago,,Thiago,34735
Ligue 1,http://twitter.com/search?q=%22Ligue+1%22,,%22Ligue+1%22,35607
Anfield,http://twitter.com/search?q=Anfield,,Anfield,24944
ERICA DAZZLES AT DFMEXICO,http://twitter.com/search?q=%22ERICA+DAZZLES+AT+DFMEXICO%22,,%22ERICA+DAZZLES+AT+DFMEXICO%22,19595
Rashford,http://twitter.com/search?q=Rashford,,Rashford,10528
BRING BACK ADIZA,http://twitter.com/search?q=%22BRING+BACK+ADIZA%22,,%22BRING+BACK+ADIZA%22,12429
Halal,http://twitter.com/search?q=Halal,,Halal,18893
Rodgers,http://twitter.com/search?q=Rodgers,,Rodgers,18108
hua cheng,http://twitter.com/search?q=%22hua+cheng%22,,%22hua+cheng%22,32826
Leicester,http://twitter.com/search?q=Leicester,,Leicester,89275
Checo,http://twitter.com/search?q=Checo,,Checo,11198
Varane,http://twitter.com/search?q=Varane,,Varane,
Shaw,http://twitter.com/search?q=Shaw,,Shaw,16043
JANTA KA VIP KARAN,http://twitter.com/search?q=%22JANTA+KA+VIP+KARAN%22,,%22JANTA+KA+VIP+KARAN%22,1060920
Imran Khan,http://twitter.com/search?q=%22Imran+Khan%22,,%22Imran+Khan%22,15161
Tuchel,http://twitter.com/search?q=Tuchel,,Tuchel,33188
#ManUtd,http://twitter.com/search?q=%23ManUtd,,%23ManUtd,
#WeekendKaVaar,http://twitter.com/search?q=%23WeekendKaVaar,,%23WeekendKaVaar,22025
#MUNWAT,http://twitter.com/search?q=%23MUNWAT,,%23MUNWAT,
