name,url,promoted_content,query,tweet_volume
#SSMB28,http://twitter.com/search?q=%23SSMB28,,%23SSMB28,18476
#ChandigarhMunicipalResults,http://twitter.com/search?q=%23ChandigarhMunicipalResults,,%23ChandigarhMunicipalResults,11470
#WinZOAppLelo,http://twitter.com/search?q=%23WinZOAppLelo,,%23WinZOAppLelo,
#MoreToYou,http://twitter.com/search?q=%23MoreToYou,,%23MoreToYou,
#CovidAgentTNTheatres,http://twitter.com/search?q=%23CovidAgentTNTheatres,,%23CovidAgentTNTheatres,21675
Mother Teresa,http://twitter.com/search?q=%22Mother+Teresa%22,,%22Mother+Teresa%22,
Niti Aayog,http://twitter.com/search?q=%22Niti+Aayog%22,,%22Niti+Aayog%22,
Sunny Leone Machhli,http://twitter.com/search?q=%22Sunny+Leone+Machhli%22,,%22Sunny+Leone+Machhli%22,
hoshi,http://twitter.com/search?q=hoshi,,hoshi,184262
Delhi Police,http://twitter.com/search?q=%22Delhi+Police%22,,%22Delhi+Police%22,
Demand 4 SSR Flatmates Custody,http://twitter.com/search?q=%22Demand+4+SSR+Flatmates+Custody%22,,%22Demand+4+SSR+Flatmates+Custody%22,46852
Mayor,http://twitter.com/search?q=Mayor,,Mayor,102412
CBI FINALIZE SSR MURDER REPORT,http://twitter.com/search?q=%22CBI+FINALIZE+SSR+MURDER+REPORT%22,,%22CBI+FINALIZE+SSR+MURDER+REPORT%22,50925
England,http://twitter.com/search?q=England,,England,103358
Mandi,http://twitter.com/search?q=Mandi,,Mandi,58212
Rs 11,000,http://twitter.com/search?q=%22Rs+11%2C000%22,,%22Rs+11%2C000%22,
Starc,http://twitter.com/search?q=Starc,,Starc,
Savarkar,http://twitter.com/search?q=Savarkar,,Savarkar,
Friendly,http://twitter.com/search?q=Friendly,,Friendly,89427
Himachal Pradesh,http://twitter.com/search?q=%22Himachal+Pradesh%22,,%22Himachal+Pradesh%22,11274
HDFC Bank,http://twitter.com/search?q=%22HDFC+Bank%22,,%22HDFC+Bank%22,
Joe Root,http://twitter.com/search?q=%22Joe+Root%22,,%22Joe+Root%22,
Happy Birthday Bhai,http://twitter.com/search?q=%22Happy+Birthday+Bhai%22,,%22Happy+Birthday+Bhai%22,60538
Yes Bank,http://twitter.com/search?q=%22Yes+Bank%22,,%22Yes+Bank%22,
Anderson,http://twitter.com/search?q=Anderson,,Anderson,29287
#MeenaKotwalNeedsSecurity,http://twitter.com/search?q=%23MeenaKotwalNeedsSecurity,,%23MeenaKotwalNeedsSecurity,
#Restore_JINROCK,http://twitter.com/search?q=%23Restore_JINROCK,,%23Restore_JINROCK,24498
#WishesForShehnaaz,http://twitter.com/search?q=%23WishesForShehnaaz,,%23WishesForShehnaaz,
#JINJIN,http://twitter.com/search?q=%23JINJIN,,%23JINJIN,25416
#TalibanWillbiteBack,http://twitter.com/search?q=%23TalibanWillbiteBack,,%23TalibanWillbiteBack,17075
#TrivikramSrinivas,http://twitter.com/search?q=%23TrivikramSrinivas,,%23TrivikramSrinivas,
#HappyBirthdaySalmanKhan,http://twitter.com/search?q=%23HappyBirthdaySalmanKhan,,%23HappyBirthdaySalmanKhan,918579
#4YearsOfDoubleEngine,http://twitter.com/search?q=%234YearsOfDoubleEngine,,%234YearsOfDoubleEngine,30612
#Ashes2021,http://twitter.com/search?q=%23Ashes2021,,%23Ashes2021,
#CoWIN,http://twitter.com/search?q=%23CoWIN,,%23CoWIN,
#TejasviSurya,http://twitter.com/search?q=%23TejasviSurya,,%23TejasviSurya,
#hbdjayantsingh,http://twitter.com/search?q=%23hbdjayantsingh,,%23hbdjayantsingh,
#MondayMotivation,http://twitter.com/search?q=%23MondayMotivation,,%23MondayMotivation,48777
#ShehnaazGill,http://twitter.com/search?q=%23ShehnaazGill,,%23ShehnaazGill,80058
#Extend_Due_Date_Immediately,http://twitter.com/search?q=%23Extend_Due_Date_Immediately,,%23Extend_Due_Date_Immediately,26642
#GandhiForever,http://twitter.com/search?q=%23GandhiForever,,%23GandhiForever,15009
#GMRINFRA,http://twitter.com/search?q=%23GMRINFRA,,%23GMRINFRA,
#Ghalib,http://twitter.com/search?q=%23Ghalib,,%23Ghalib,
#mondaythoughts,http://twitter.com/search?q=%23mondaythoughts,,%23mondaythoughts,17074
#RBLbank,http://twitter.com/search?q=%23RBLbank,,%23RBLbank,
#KalicharanMaharaj,http://twitter.com/search?q=%23KalicharanMaharaj,,%23KalicharanMaharaj,
#AamAadmiParty,http://twitter.com/search?q=%23AamAadmiParty,,%23AamAadmiParty,
#RajinikanthFoundation,http://twitter.com/search?q=%23RajinikanthFoundation,,%23RajinikanthFoundation,
#MahatmaGandhi,http://twitter.com/search?q=%23MahatmaGandhi,,%23MahatmaGandhi,
#BJPFailedHimachal,http://twitter.com/search?q=%23BJPFailedHimachal,,%23BJPFailedHimachal,25058
