name,url,promoted_content,query,tweet_volume
#StandUpForIndia,http://twitter.com/search?q=%23StandUpForIndia,,%23StandUpForIndia,77995
#indvnz,http://twitter.com/search?q=%23indvnz,,%23indvnz,71034
#VirDas,http://twitter.com/search?q=%23VirDas,,%23VirDas,103258
#WelcomeToLA_BTS,http://twitter.com/search?q=%23WelcomeToLA_BTS,,%23WelcomeToLA_BTS,72922
#VeerDas,http://twitter.com/search?q=%23VeerDas,,%23VeerDas,
BWood Game Changer Sushant,http://twitter.com/search?q=%22BWood+Game+Changer+Sushant%22,,%22BWood+Game+Changer+Sushant%22,31002
Our Wishes 4 Sushant,http://twitter.com/search?q=%22Our+Wishes+4+Sushant%22,,%22Our+Wishes+4+Sushant%22,29716
MISSING SHAMITA IN BB15,http://twitter.com/search?q=%22MISSING+SHAMITA+IN+BB15%22,,%22MISSING+SHAMITA+IN+BB15%22,111648
Iyer,http://twitter.com/search?q=Iyer,,Iyer,12861
वीर दास,http://twitter.com/search?q=%22%E0%A4%B5%E0%A5%80%E0%A4%B0+%E0%A4%A6%E0%A4%BE%E0%A4%B8%22,,%22%E0%A4%B5%E0%A5%80%E0%A4%B0+%E0%A4%A6%E0%A4%BE%E0%A4%B8%22,36432
DC FANS WANT ZACK SNYDER,http://twitter.com/search?q=%22DC+FANS+WANT+ZACK+SNYDER%22,,%22DC+FANS+WANT+ZACK+SNYDER%22,21619
Shreyas,http://twitter.com/search?q=Shreyas,,Shreyas,
AMAs,http://twitter.com/search?q=AMAs,,AMAs,724445
BINGE ON MARADONA,http://twitter.com/search?q=%22BINGE+ON+MARADONA%22,,%22BINGE+ON+MARADONA%22,
Boult,http://twitter.com/search?q=Boult,,Boult,
Ashwin,http://twitter.com/search?q=Ashwin,,Ashwin,
Siraj,http://twitter.com/search?q=Siraj,,Siraj,
CSRF,http://twitter.com/search?q=CSRF,,CSRF,
KAI COMEBACK BEGINS,http://twitter.com/search?q=%22KAI+COMEBACK+BEGINS%22,,%22KAI+COMEBACK+BEGINS%22,180805
Venky,http://twitter.com/search?q=Venky,,Venky,
Coldplay,http://twitter.com/search?q=Coldplay,,Coldplay,511623
Paytm,http://twitter.com/search?q=Paytm,,Paytm,24803
Raju,http://twitter.com/search?q=Raju,,Raju,12719
#LatentViewIPO,http://twitter.com/search?q=%23LatentViewIPO,,%23LatentViewIPO,
#KashmiriLivesMatter,http://twitter.com/search?q=%23KashmiriLivesMatter,,%23KashmiriLivesMatter,18158
#TwoIndias,http://twitter.com/search?q=%23TwoIndias,,%23TwoIndias,26213
#HBDLadySuperstarNayanthara,http://twitter.com/search?q=%23HBDLadySuperstarNayanthara,,%23HBDLadySuperstarNayanthara,28956
#AbuseIsNotComedy,http://twitter.com/search?q=%23AbuseIsNotComedy,,%23AbuseIsNotComedy,
#SuryakumarYadav,http://twitter.com/search?q=%23SuryakumarYadav,,%23SuryakumarYadav,
#RohithSharma,http://twitter.com/search?q=%23RohithSharma,,%23RohithSharma,
#LatentViewAnalytics,http://twitter.com/search?q=%23LatentViewAnalytics,,%23LatentViewAnalytics,
#rahuldravid,http://twitter.com/search?q=%23rahuldravid,,%23rahuldravid,
#PratikSehajpaI,http://twitter.com/search?q=%23PratikSehajpaI,,%23PratikSehajpaI,11159
#BoycottAntim,http://twitter.com/search?q=%23BoycottAntim,,%23BoycottAntim,
#RestoreTheSnyderVerse,http://twitter.com/search?q=%23RestoreTheSnyderVerse,,%23RestoreTheSnyderVerse,37578
#फिल्मों_ने_बिगाड़ा_समाज,http://twitter.com/search?q=%23%E0%A4%AB%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%AE%E0%A5%8B%E0%A4%82_%E0%A4%A8%E0%A5%87_%E0%A4%AC%E0%A4%BF%E0%A4%97%E0%A4%BE%E0%A4%A1%E0%A4%BC%E0%A4%BE_%E0%A4%B8%E0%A4%AE%E0%A4%BE%E0%A4%9C,,%23%E0%A4%AB%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%AE%E0%A5%8B%E0%A4%82_%E0%A4%A8%E0%A5%87_%E0%A4%AC%E0%A4%BF%E0%A4%97%E0%A4%BE%E0%A4%A1%E0%A4%BC%E0%A4%BE_%E0%A4%B8%E0%A4%AE%E0%A4%BE%E0%A4%9C,357024
#VTFOct21,http://twitter.com/search?q=%23VTFOct21,,%23VTFOct21,
#VTfoundation,http://twitter.com/search?q=%23VTfoundation,,%23VTfoundation,
#Momomia,http://twitter.com/search?q=%23Momomia,,%23Momomia,
#justepic,http://twitter.com/search?q=%23justepic,,%23justepic,
#TejaswwiPrakash,http://twitter.com/search?q=%23TejaswwiPrakash,,%23TejaswwiPrakash,12222
#jaipur,http://twitter.com/search?q=%23jaipur,,%23jaipur,
#internships,http://twitter.com/search?q=%23internships,,%23internships,
#T20I,http://twitter.com/search?q=%23T20I,,%23T20I,
#KaranIsTheBoss,http://twitter.com/search?q=%23KaranIsTheBoss,,%23KaranIsTheBoss,273698
