name,url,promoted_content,query,tweet_volume
Happy Holi,http://twitter.com/search?q=%22Happy+Holi%22,,%22Happy+Holi%22,107572
#JollyOGymkhana,http://twitter.com/search?q=%23JollyOGymkhana,,%23JollyOGymkhana,526909
#BahrainGP,http://twitter.com/search?q=%23BahrainGP,,%23BahrainGP,226403
#TheKasmirFiles,http://twitter.com/search?q=%23TheKasmirFiles,,%23TheKasmirFiles,81327
#BeastSecondSingle,http://twitter.com/search?q=%23BeastSecondSingle,,%23BeastSecondSingle,199772
Bottas,http://twitter.com/search?q=Bottas,,Bottas,48802
Ferrari,http://twitter.com/search?q=Ferrari,,Ferrari,120539
Haas,http://twitter.com/search?q=Haas,,Haas,64327
Japan,http://twitter.com/search?q=Japan,,Japan,627436
Alcaraz,http://twitter.com/search?q=Alcaraz,,Alcaraz,15985
Hindus,http://twitter.com/search?q=Hindus,,Hindus,131904
karan ki monami,http://twitter.com/search?q=%22karan+ki+monami%22,,%22karan+ki+monami%22,17306
Bangladesh,http://twitter.com/search?q=Bangladesh,,Bangladesh,48230
ezyspit ka jadu,http://twitter.com/search?q=%22ezyspit+ka+jadu%22,,%22ezyspit+ka+jadu%22,
Leno,http://twitter.com/search?q=Leno,,Leno,39040
Day643 Inspirational Sushant,http://twitter.com/search?q=%22Day643+Inspirational+Sushant%22,,%22Day643+Inspirational+Sushant%22,23604
four yrs of adiya,http://twitter.com/search?q=%22four+yrs+of+adiya%22,,%22four+yrs+of+adiya%22,
Russell,http://twitter.com/search?q=Russell,,Russell,87171
FOCUS ON PREERAN,http://twitter.com/search?q=%22FOCUS+ON+PREERAN%22,,%22FOCUS+ON+PREERAN%22,33577
meg lanning,http://twitter.com/search?q=%22meg+lanning%22,,%22meg+lanning%22,
day643 of injustice to ssr,http://twitter.com/search?q=%22day643+of+injustice+to+ssr%22,,%22day643+of+injustice+to+ssr%22,42233
Yuri Gagarin,http://twitter.com/search?q=%22Yuri+Gagarin%22,,%22Yuri+Gagarin%22,26770
Jinnie,http://twitter.com/search?q=Jinnie,,Jinnie,31571
jungkook,http://twitter.com/search?q=jungkook,,jungkook,955534
STUNNING NAAGIN PRATHA,http://twitter.com/search?q=%22STUNNING+NAAGIN+PRATHA%22,,%22STUNNING+NAAGIN+PRATHA%22,138355
gita,http://twitter.com/search?q=gita,,gita,19241
amroha,http://twitter.com/search?q=amroha,,amroha,38621
pooja vastrakar,http://twitter.com/search?q=%22pooja+vastrakar%22,,%22pooja+vastrakar%22,
Verstappen,http://twitter.com/search?q=Verstappen,,Verstappen,48681
Charles,http://twitter.com/search?q=Charles,,Charles,147493
Leclerc,http://twitter.com/search?q=Leclerc,,Leclerc,124151
McLaren,http://twitter.com/search?q=McLaren,,McLaren,31232
श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,81921
बारात मुबारक,http://twitter.com/search?q=%22%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%A4+%E0%A4%AE%E0%A5%81%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%95%22,,%22%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%A4+%E0%A4%AE%E0%A5%81%E0%A4%AC%E0%A4%BE%E0%A4%B0%E0%A4%95%22,
Global Inspiration Sushant,http://twitter.com/search?q=%22Global+Inspiration+Sushant%22,,%22Global+Inspiration+Sushant%22,31428
CBI Break Silence 4 Sushant,http://twitter.com/search?q=%22CBI+Break+Silence+4+Sushant%22,,%22CBI+Break+Silence+4+Sushant%22,66936
Alfa Romeo,http://twitter.com/search?q=%22Alfa+Romeo%22,,%22Alfa+Romeo%22,20624
Sainz,http://twitter.com/search?q=Sainz,,Sainz,32538
Lee Zii Jia,http://twitter.com/search?q=%22Lee+Zii+Jia%22,,%22Lee+Zii+Jia%22,45427
Hamilton,http://twitter.com/search?q=Hamilton,,Hamilton,59112
Sophia,http://twitter.com/search?q=Sophia,,Sophia,32092
Gurudwara,http://twitter.com/search?q=Gurudwara,,Gurudwara,
Nadal,http://twitter.com/search?q=Nadal,,Nadal,25004
Daily Quordle,http://twitter.com/search?q=%22Daily+Quordle%22,,%22Daily+Quordle%22,
JIMIN RECORD MAKER,http://twitter.com/search?q=%22JIMIN+RECORD+MAKER%22,,%22JIMIN+RECORD+MAKER%22,21549
JIMIN HIT MAKER,http://twitter.com/search?q=%22JIMIN+HIT+MAKER%22,,%22JIMIN+HIT+MAKER%22,14078
Israel,http://twitter.com/search?q=Israel,,Israel,72821
श्री महाकालेश्वर,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%22,
Good Morning Sir,http://twitter.com/search?q=%22Good+Morning+Sir%22,,%22Good+Morning+Sir%22,
