name,url,promoted_content,query,tweet_volume
#छठ_पूजा_Reality,http://twitter.com/search?q=%23%E0%A4%9B%E0%A4%A0_%E0%A4%AA%E0%A5%82%E0%A4%9C%E0%A4%BE_Reality,,%23%E0%A4%9B%E0%A4%A0_%E0%A4%AA%E0%A5%82%E0%A4%9C%E0%A4%BE_Reality,393366
#6YrsOfVEDALAMFestival,http://twitter.com/search?q=%236YrsOfVEDALAMFestival,,%236YrsOfVEDALAMFestival,155157
#RohitSharma,http://twitter.com/search?q=%23RohitSharma,,%23RohitSharma,15159
#கோமாளி_அண்ணாமலை,http://twitter.com/search?q=%23%E0%AE%95%E0%AF%8B%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AE%BF_%E0%AE%85%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%AE%E0%AE%B2%E0%AF%88,,%23%E0%AE%95%E0%AF%8B%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AE%BF_%E0%AE%85%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BE%E0%AE%AE%E0%AE%B2%E0%AF%88,
GLORIOUS 6 YEAR OF SHEHNAAZ,http://twitter.com/search?q=%22GLORIOUS+6+YEAR+OF+SHEHNAAZ%22,,%22GLORIOUS+6+YEAR+OF+SHEHNAAZ%22,
Chhath Puja,http://twitter.com/search?q=%22Chhath+Puja%22,,%22Chhath+Puja%22,80216
MANAN IS COMING BACK,http://twitter.com/search?q=%22MANAN+IS+COMING+BACK%22,,%22MANAN+IS+COMING+BACK%22,15597
Venkatesh Iyer,http://twitter.com/search?q=%22Venkatesh+Iyer%22,,%22Venkatesh+Iyer%22,
14 YEARS OF RANBIR KAPOOR,http://twitter.com/search?q=%2214+YEARS+OF+RANBIR+KAPOOR%22,,%2214+YEARS+OF+RANBIR+KAPOOR%22,
NO PADMA 4 FAKE BOLLY PEOPLE,http://twitter.com/search?q=%22NO+PADMA+4+FAKE+BOLLY+PEOPLE%22,,%22NO+PADMA+4+FAKE+BOLLY+PEOPLE%22,
1MONTH OF JO TERA HOWEGA,http://twitter.com/search?q=%221MONTH+OF+JO+TERA+HOWEGA%22,,%221MONTH+OF+JO+TERA+HOWEGA%22,
Congratulations Jimin,http://twitter.com/search?q=%22Congratulations+Jimin%22,,%22Congratulations+Jimin%22,36501
Holy Scriptures,http://twitter.com/search?q=%22Holy+Scriptures%22,,%22Holy+Scriptures%22,51691
Harshal Patel,http://twitter.com/search?q=%22Harshal+Patel%22,,%22Harshal+Patel%22,
Bhuvi,http://twitter.com/search?q=Bhuvi,,Bhuvi,
Siraj,http://twitter.com/search?q=Siraj,,Siraj,
Rutu,http://twitter.com/search?q=Rutu,,Rutu,
For Android,http://twitter.com/search?q=%22For+Android%22,,%22For+Android%22,14673
For iOS,http://twitter.com/search?q=%22For+iOS%22,,%22For+iOS%22,11842
HWASA,http://twitter.com/search?q=HWASA,,HWASA,27539
Rested,http://twitter.com/search?q=Rested,,Rested,
SHAMITA SHINES,http://twitter.com/search?q=%22SHAMITA+SHINES%22,,%22SHAMITA+SHINES%22,22141
T20I,http://twitter.com/search?q=T20I,,T20I,44147
Holy Srimad Bhagavad Gita,http://twitter.com/search?q=%22Holy+Srimad+Bhagavad+Gita%22,,%22Holy+Srimad+Bhagavad+Gita%22,11847
avesh khan,http://twitter.com/search?q=%22avesh+khan%22,,%22avesh+khan%22,
Sanju Samson,http://twitter.com/search?q=%22Sanju+Samson%22,,%22Sanju+Samson%22,
Venky,http://twitter.com/search?q=Venky,,Venky,
Matha B Manjamma Jogati,http://twitter.com/search?q=%22Matha+B+Manjamma+Jogati%22,,%22Matha+B+Manjamma+Jogati%22,
QUICK RECOVERY RAQESH,http://twitter.com/search?q=%22QUICK+RECOVERY+RAQESH%22,,%22QUICK+RECOVERY+RAQESH%22,12637
Jogamma,http://twitter.com/search?q=Jogamma,,Jogamma,
Mayank,http://twitter.com/search?q=Mayank,,Mayank,
NHRC,http://twitter.com/search?q=NHRC,,NHRC,
Deepak Chahar,http://twitter.com/search?q=%22Deepak+Chahar%22,,%22Deepak+Chahar%22,
Supreme God Kabir,http://twitter.com/search?q=%22Supreme+God+Kabir%22,,%22Supreme+God+Kabir%22,28262
Chahal,http://twitter.com/search?q=Chahal,,Chahal,
SMAT,http://twitter.com/search?q=SMAT,,SMAT,
Bishnoi,http://twitter.com/search?q=Bishnoi,,Bishnoi,
Human Rights,http://twitter.com/search?q=%22Human+Rights%22,,%22Human+Rights%22,61471
The Glowing Stands,http://twitter.com/search?q=%22The+Glowing+Stands%22,,%22The+Glowing+Stands%22,
सूर्य देव,http://twitter.com/search?q=%22%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%AF+%E0%A4%A6%E0%A5%87%E0%A4%B5%22,,%22%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%AF+%E0%A4%A6%E0%A5%87%E0%A4%B5%22,42231
LGBT,http://twitter.com/search?q=LGBT,,LGBT,36989
I Need Commission,http://twitter.com/search?q=%22I+Need+Commission%22,,%22I+Need+Commission%22,18401
Rahane,http://twitter.com/search?q=Rahane,,Rahane,
नवाब मलिक,http://twitter.com/search?q=%22%E0%A4%A8%E0%A4%B5%E0%A4%BE%E0%A4%AC+%E0%A4%AE%E0%A4%B2%E0%A4%BF%E0%A4%95%22,,%22%E0%A4%A8%E0%A4%B5%E0%A4%BE%E0%A4%AC+%E0%A4%AE%E0%A4%B2%E0%A4%BF%E0%A4%95%22,
President,http://twitter.com/search?q=President,,President,521205
Allama Iqbal,http://twitter.com/search?q=%22Allama+Iqbal%22,,%22Allama+Iqbal%22,19742
#NoMoreMissedCallsFromMom,http://twitter.com/search?q=%23NoMoreMissedCallsFromMom,,%23NoMoreMissedCallsFromMom,
#BreakUnderworldNexus,http://twitter.com/search?q=%23BreakUnderworldNexus,,%23BreakUnderworldNexus,24782
