name,url,promoted_content,query,tweet_volume
#EarthDay2022,http://twitter.com/search?q=%23EarthDay2022,,%23EarthDay2022,55830
#InvestInOurPlanet,http://twitter.com/search?q=%23InvestInOurPlanet,,%23InvestInOurPlanet,22701
#IWantJustice,http://twitter.com/search?q=%23IWantJustice,,%23IWantJustice,46752
#FridayVibes,http://twitter.com/search?q=%23FridayVibes,,%23FridayVibes,
CBI Make SSR Case A Priority,http://twitter.com/search?q=%22CBI+Make+SSR+Case+A+Priority%22,,%22CBI+Make+SSR+Case+A+Priority%22,17885
#FridayMotivation,http://twitter.com/search?q=%23FridayMotivation,,%23FridayMotivation,
Right To Justice,http://twitter.com/search?q=%22Right+To+Justice%22,,%22Right+To+Justice%22,48781
I Stand For Bapuji,http://twitter.com/search?q=%22I+Stand+For+Bapuji%22,,%22I+Stand+For+Bapuji%22,44498
TOP RECORD HOLDER V,http://twitter.com/search?q=%22TOP+RECORD+HOLDER+V%22,,%22TOP+RECORD+HOLDER+V%22,63662
Congratulations Taehyung,http://twitter.com/search?q=%22Congratulations+Taehyung%22,,%22Congratulations+Taehyung%22,42290
Aurangzeb,http://twitter.com/search?q=Aurangzeb,,Aurangzeb,16288
Daily Quordle 88,http://twitter.com/search?q=%22Daily+Quordle+88%22,,%22Daily+Quordle+88%22,
Mughal,http://twitter.com/search?q=Mughal,,Mughal,10191
Firoz,http://twitter.com/search?q=Firoz,,Firoz,59399
Sikhs,http://twitter.com/search?q=Sikhs,,Sikhs,
Unadkat,http://twitter.com/search?q=Unadkat,,Unadkat,13909
Guru Tegh Bahadur,http://twitter.com/search?q=%22Guru+Tegh+Bahadur%22,,%22Guru+Tegh+Bahadur%22,27606
Boris Johnson,http://twitter.com/search?q=%22Boris+Johnson%22,,%22Boris+Johnson%22,158392
Red Fort,http://twitter.com/search?q=%22Red+Fort%22,,%22Red+Fort%22,23080
#fridaymorning,http://twitter.com/search?q=%23fridaymorning,,%23fridaymorning,
#SweetNight119개국1위,http://twitter.com/search?q=%23SweetNight119%EA%B0%9C%EA%B5%AD1%EC%9C%84,,%23SweetNight119%EA%B0%9C%EA%B5%AD1%EC%9C%84,68377
#FridayFeeling,http://twitter.com/search?q=%23FridayFeeling,,%23FridayFeeling,
#Boycott_MalabarGold,http://twitter.com/search?q=%23Boycott_MalabarGold,,%23Boycott_MalabarGold,
#No_Bindi_No_Business,http://twitter.com/search?q=%23No_Bindi_No_Business,,%23No_Bindi_No_Business,
#GodMorningFriday,http://twitter.com/search?q=%23GodMorningFriday,,%23GodMorningFriday,31156
#Sunjwan,http://twitter.com/search?q=%23Sunjwan,,%23Sunjwan,
#विश्व_पृथ्वी_दिवस,http://twitter.com/search?q=%23%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5_%E0%A4%AA%E0%A5%83%E0%A4%A5%E0%A5%8D%E0%A4%B5%E0%A5%80_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,,%23%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5_%E0%A4%AA%E0%A5%83%E0%A4%A5%E0%A5%8D%E0%A4%B5%E0%A5%80_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,
#भाजपा_भगाओ_देश_बचाओ,http://twitter.com/search?q=%23%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%AA%E0%A4%BE_%E0%A4%AD%E0%A4%97%E0%A4%BE%E0%A4%93_%E0%A4%A6%E0%A5%87%E0%A4%B6_%E0%A4%AC%E0%A4%9A%E0%A4%BE%E0%A4%93,,%23%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%AA%E0%A4%BE_%E0%A4%AD%E0%A4%97%E0%A4%BE%E0%A4%93_%E0%A4%A6%E0%A5%87%E0%A4%B6_%E0%A4%AC%E0%A4%9A%E0%A4%BE%E0%A4%93,
#saveourplanet,http://twitter.com/search?q=%23saveourplanet,,%23saveourplanet,
#CSKvsMi,http://twitter.com/search?q=%23CSKvsMi,,%23CSKvsMi,112288
#Jammu,http://twitter.com/search?q=%23Jammu,,%23Jammu,
#Wordle307,http://twitter.com/search?q=%23Wordle307,,%23Wordle307,
#savetheplanet,http://twitter.com/search?q=%23savetheplanet,,%23savetheplanet,
#Dhonism,http://twitter.com/search?q=%23Dhonism,,%23Dhonism,
#BoycottJersey,http://twitter.com/search?q=%23BoycottJersey,,%23BoycottJersey,
#ClimateActionNow,http://twitter.com/search?q=%23ClimateActionNow,,%23ClimateActionNow,
#SGXNIFTY,http://twitter.com/search?q=%23SGXNIFTY,,%23SGXNIFTY,
#CSK𓃬,http://twitter.com/search?q=%23CSK%F0%93%83%AC,,%23CSK%F0%93%83%AC,28655
#Ascension,http://twitter.com/search?q=%23Ascension,,%23Ascension,27930
#WhistlePodu,http://twitter.com/search?q=%23WhistlePodu,,%23WhistlePodu,91567
#NFTGiveaways,http://twitter.com/search?q=%23NFTGiveaways,,%23NFTGiveaways,261964
#PlayToEarn,http://twitter.com/search?q=%23PlayToEarn,,%23PlayToEarn,97653
#mahi,http://twitter.com/search?q=%23mahi,,%23mahi,
#Finisher,http://twitter.com/search?q=%23Finisher,,%23Finisher,
#Yellove,http://twitter.com/search?q=%23Yellove,,%23Yellove,72962
#GOAT𓃵,http://twitter.com/search?q=%23GOAT%F0%93%83%B5,,%23GOAT%F0%93%83%B5,
#rohitsharma𓃵,http://twitter.com/search?q=%23rohitsharma%F0%93%83%B5,,%23rohitsharma%F0%93%83%B5,
