name,url,promoted_content,query,tweet_volume
#ValentinesDay,http://twitter.com/search?q=%23ValentinesDay,,%23ValentinesDay,42419
#HijabBan,http://twitter.com/search?q=%23HijabBan,,%23HijabBan,115699
#CryptoChanniChurchDaCM,http://twitter.com/search?q=%23CryptoChanniChurchDaCM,,%23CryptoChanniChurchDaCM,
#RageCoffeeNFTs,http://twitter.com/search?q=%23RageCoffeeNFTs,,%23RageCoffeeNFTs,
#bscgemalert,http://twitter.com/search?q=%23bscgemalert,,%23bscgemalert,
LUCAS,http://twitter.com/search?q=LUCAS,,LUCAS,822163
TERI ADA FT SHIVIN,http://twitter.com/search?q=%22TERI+ADA+FT+SHIVIN%22,,%22TERI+ADA+FT+SHIVIN%22,
Prasidh Krishna,http://twitter.com/search?q=%22Prasidh+Krishna%22,,%22Prasidh+Krishna%22,
MR FAISU HITS 40M ON JOSH APP,http://twitter.com/search?q=%22MR+FAISU+HITS+40M+ON+JOSH+APP%22,,%22MR+FAISU+HITS+40M+ON+JOSH+APP%22,13017
Reject Anti National BWood,http://twitter.com/search?q=%22Reject+Anti+National+BWood%22,,%22Reject+Anti+National+BWood%22,
Flawless Sushant Singh Rajput,http://twitter.com/search?q=%22Flawless+Sushant+Singh+Rajput%22,,%22Flawless+Sushant+Singh+Rajput%22,
DHOKHA SONG TMRW,http://twitter.com/search?q=%22DHOKHA+SONG+TMRW%22,,%22DHOKHA+SONG+TMRW%22,
Odean Smith,http://twitter.com/search?q=%22Odean+Smith%22,,%22Odean+Smith%22,
Brooks,http://twitter.com/search?q=Brooks,,Brooks,12844
Deepak Hooda,http://twitter.com/search?q=%22Deepak+Hooda%22,,%22Deepak+Hooda%22,
Jai NTR,http://twitter.com/search?q=%22Jai+NTR%22,,%22Jai+NTR%22,
Captaincy,http://twitter.com/search?q=Captaincy,,Captaincy,
Shai Hope,http://twitter.com/search?q=%22Shai+Hope%22,,%22Shai+Hope%22,
Pant,http://twitter.com/search?q=Pant,,Pant,19489
Siraj,http://twitter.com/search?q=Siraj,,Siraj,
Pooran,http://twitter.com/search?q=Pooran,,Pooran,
C. Halle Berry,http://twitter.com/search?q=%22C.+Halle+Berry%22,,%22C.+Halle+Berry%22,
Priyanka Gandhi,http://twitter.com/search?q=%22Priyanka+Gandhi%22,,%22Priyanka+Gandhi%22,13078
Bikini,http://twitter.com/search?q=Bikini,,Bikini,89812
Malala,http://twitter.com/search?q=Malala,,Malala,161800
Chahal,http://twitter.com/search?q=Chahal,,Chahal,
KKSQUAD LOVES KARAN,http://twitter.com/search?q=%22KKSQUAD+LOVES+KARAN%22,,%22KKSQUAD+LOVES+KARAN%22,448274
ANNIVERSARY OF DW RUBINA,http://twitter.com/search?q=%22ANNIVERSARY+OF+DW+RUBINA%22,,%22ANNIVERSARY+OF+DW+RUBINA%22,62589
Windies,http://twitter.com/search?q=Windies,,Windies,
Suryakumar Yadav,http://twitter.com/search?q=%22Suryakumar+Yadav%22,,%22Suryakumar+Yadav%22,
West Indies,http://twitter.com/search?q=%22West+Indies%22,,%22West+Indies%22,14545
ODIs,http://twitter.com/search?q=ODIs,,ODIs,
Jersey,http://twitter.com/search?q=Jersey,,Jersey,65216
CONGRATULATIONS JIMIN,http://twitter.com/search?q=%22CONGRATULATIONS+JIMIN%22,,%22CONGRATULATIONS+JIMIN%22,72804
#100DaysToNTRBday,http://twitter.com/search?q=%23100DaysToNTRBday,,%23100DaysToNTRBday,34224
#EducationMyRight,http://twitter.com/search?q=%23EducationMyRight,,%23EducationMyRight,33282
#rebellionprotocol,http://twitter.com/search?q=%23rebellionprotocol,,%23rebellionprotocol,
#SamsungUnpacked,http://twitter.com/search?q=%23SamsungUnpacked,,%23SamsungUnpacked,83828
#Maithili_In_CTET,http://twitter.com/search?q=%23Maithili_In_CTET,,%23Maithili_In_CTET,13946
#NoidaWithPankhuri,http://twitter.com/search?q=%23NoidaWithPankhuri,,%23NoidaWithPankhuri,
#INDvWI,http://twitter.com/search?q=%23INDvWI,,%23INDvWI,34141
#PSB_inprofit,http://twitter.com/search?q=%23PSB_inprofit,,%23PSB_inprofit,35843
#CBSE,http://twitter.com/search?q=%23CBSE,,%23CBSE,
#UpYoGi_संकल्प,http://twitter.com/search?q=%23UpYoGi_%E0%A4%B8%E0%A4%82%E0%A4%95%E0%A4%B2%E0%A5%8D%E0%A4%AA,,%23UpYoGi_%E0%A4%B8%E0%A4%82%E0%A4%95%E0%A4%B2%E0%A5%8D%E0%A4%AA,46354
#ReleaseBapuji4OurVote,http://twitter.com/search?q=%23ReleaseBapuji4OurVote,,%23ReleaseBapuji4OurVote,81085
#TelanganaLovesModi,http://twitter.com/search?q=%23TelanganaLovesModi,,%23TelanganaLovesModi,
#NoidaKiJeetPankajSingh,http://twitter.com/search?q=%23NoidaKiJeetPankajSingh,,%23NoidaKiJeetPankajSingh,
#HijabNahiKitaabDo,http://twitter.com/search?q=%23HijabNahiKitaabDo,,%23HijabNahiKitaabDo,45033
#Mahaan,http://twitter.com/search?q=%23Mahaan,,%23Mahaan,30249
#DonateToAAP,http://twitter.com/search?q=%23DonateToAAP,,%23DonateToAAP,
