name,url,promoted_content,query,tweet_volume
#SuperCup,http://twitter.com/search?q=%23SuperCup,,%23SuperCup,139057
Kepa,http://twitter.com/search?q=Kepa,,Kepa,119853
#Shershaah,http://twitter.com/search?q=%23Shershaah,,%23Shershaah,11309
Chelsea,http://twitter.com/search?q=Chelsea,,Chelsea,423033
Tuchel,http://twitter.com/search?q=Tuchel,,Tuchel,62095
#CHEVIL,http://twitter.com/search?q=%23CHEVIL,,%23CHEVIL,30092
Ziyech,http://twitter.com/search?q=Ziyech,,Ziyech,55439
Roar 4 Disha SSR Justice,http://twitter.com/search?q=%22Roar+4+Disha+SSR+Justice%22,,%22Roar+4+Disha+SSR+Justice%22,76907
Champions of Europe,http://twitter.com/search?q=%22Champions+of+Europe%22,,%22Champions+of+Europe%22,
Chalobah,http://twitter.com/search?q=Chalobah,,Chalobah,26421
Mendy,http://twitter.com/search?q=Mendy,,Mendy,25963
BTS ARTIST OF THE CENTURY,http://twitter.com/search?q=%22BTS+ARTIST+OF+THE+CENTURY%22,,%22BTS+ARTIST+OF+THE+CENTURY%22,15185
Pulisic,http://twitter.com/search?q=Pulisic,,Pulisic,26140
Moreno,http://twitter.com/search?q=Moreno,,Moreno,64282
Kovacic,http://twitter.com/search?q=Kovacic,,Kovacic,
Kante,http://twitter.com/search?q=Kante,,Kante,36840
Font,http://twitter.com/search?q=Font,,Font,235551
Werner,http://twitter.com/search?q=Werner,,Werner,24308
SARA ALI KHAN,http://twitter.com/search?q=%22SARA+ALI+KHAN%22,,%22SARA+ALI+KHAN%22,30783
SUGA,http://twitter.com/search?q=SUGA,,SUGA,752966
Samsung,http://twitter.com/search?q=Samsung,,Samsung,452631
AOTY,http://twitter.com/search?q=AOTY,,AOTY,11476
sabrina,http://twitter.com/search?q=sabrina,,sabrina,32408
sidnaaz,http://twitter.com/search?q=sidnaaz,,sidnaaz,29082
Havertz,http://twitter.com/search?q=Havertz,,Havertz,35891
Deer,http://twitter.com/search?q=Deer,,Deer,23024
olivia,http://twitter.com/search?q=olivia,,olivia,149763
Way of Living,http://twitter.com/search?q=%22Way+of+Living%22,,%22Way+of+Living%22,87601
#KTBFFH,http://twitter.com/search?q=%23KTBFFH,,%23KTBFFH,
#StopPrivatization,http://twitter.com/search?q=%23StopPrivatization,,%23StopPrivatization,39505
#KabhiTumhe,http://twitter.com/search?q=%23KabhiTumhe,,%23KabhiTumhe,
#VMAs,http://twitter.com/search?q=%23VMAs,,%23VMAs,457922
#HowToBeHappy,http://twitter.com/search?q=%23HowToBeHappy,,%23HowToBeHappy,516060
#BachpanKaPyaar,http://twitter.com/search?q=%23BachpanKaPyaar,,%23BachpanKaPyaar,
#सवर्ण_भक्षक_मोदी,http://twitter.com/search?q=%23%E0%A4%B8%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A3_%E0%A4%AD%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95_%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80,,%23%E0%A4%B8%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A3_%E0%A4%AD%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%95_%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80,21548
#62YearsOfKamalism,http://twitter.com/search?q=%2362YearsOfKamalism,,%2362YearsOfKamalism,48500
#GalaxyZFold3,http://twitter.com/search?q=%23GalaxyZFold3,,%23GalaxyZFold3,18487
#GalaxyZFlip3,http://twitter.com/search?q=%23GalaxyZFlip3,,%23GalaxyZFlip3,95209
#OBCReservationBill,http://twitter.com/search?q=%23OBCReservationBill,,%23OBCReservationBill,
#WhatIfMarvel,http://twitter.com/search?q=%23WhatIfMarvel,,%23WhatIfMarvel,15057
#InternationalYouthDay,http://twitter.com/search?q=%23InternationalYouthDay,,%23InternationalYouthDay,
#BBOTT,http://twitter.com/search?q=%23BBOTT,,%23BBOTT,
#SamsoniteEVOATech,http://twitter.com/search?q=%23SamsoniteEVOATech,,%23SamsoniteEVOATech,
#OPPOReno6Series,http://twitter.com/search?q=%23OPPOReno6Series,,%23OPPOReno6Series,
#KamalHaasan,http://twitter.com/search?q=%23KamalHaasan,,%23KamalHaasan,
