name,url,promoted_content,query,tweet_volume
#NeerajChopra,http://twitter.com/search?q=%23NeerajChopra,,%23NeerajChopra,898084
#NeerajChopra,http://twitter.com/search?q=%23NeerajChopra,,%23NeerajChopra,898084
#JavelinThrow,http://twitter.com/search?q=%23JavelinThrow,,%23JavelinThrow,113560
#BajrangPunia,http://twitter.com/search?q=%23BajrangPunia,,%23BajrangPunia,70597
#PurneaAirportLA,http://twitter.com/search?q=%23PurneaAirportLA,,%23PurneaAirportLA,21235
Sant Rampal Ji Maharaj,http://twitter.com/search?q=%22Sant+Rampal+Ji+Maharaj%22,,%22Sant+Rampal+Ji+Maharaj%22,483902
14 Months Of Disha Injustice,http://twitter.com/search?q=%2214+Months+Of+Disha+Injustice%22,,%2214+Months+Of+Disha+Injustice%22,16586
14 Months Of Disha Injustice,http://twitter.com/search?q=%2214+Months+Of+Disha+Injustice%22,,%2214+Months+Of+Disha+Injustice%22,16586
National Anthem,http://twitter.com/search?q=%22National+Anthem%22,,%22National+Anthem%22,102218
Jai Hind,http://twitter.com/search?q=%22Jai+Hind%22,,%22Jai+Hind%22,71772
Congratulations India,http://twitter.com/search?q=%22Congratulations+India%22,,%22Congratulations+India%22,171546
Sant Shri Asharamji Bapu,http://twitter.com/search?q=%22Sant+Shri+Asharamji+Bapu%22,,%22Sant+Shri+Asharamji+Bapu%22,48101
Justice For Bapuji,http://twitter.com/search?q=%22Justice+For+Bapuji%22,,%22Justice+For+Bapuji%22,22968
Indians,http://twitter.com/search?q=Indians,,Indians,67869
SSRians Salute Olympians,http://twitter.com/search?q=%22SSRians+Salute+Olympians%22,,%22SSRians+Salute+Olympians%22,66360
Abhinav Bindra,http://twitter.com/search?q=%22Abhinav+Bindra%22,,%22Abhinav+Bindra%22,20536
Do or Die,http://twitter.com/search?q=%22Do+or+Die%22,,%22Do+or+Die%22,
Satlok,http://twitter.com/search?q=Satlok,,Satlok,129693
Indian Army,http://twitter.com/search?q=%22Indian+Army%22,,%22Indian+Army%22,55850
Rajiv Gandhi,http://twitter.com/search?q=%22Rajiv+Gandhi%22,,%22Rajiv+Gandhi%22,23813
Lord Kabir,http://twitter.com/search?q=%22Lord+Kabir%22,,%22Lord+Kabir%22,71326
CBI Interrogate AU 4 SSR,http://twitter.com/search?q=%22CBI+Interrogate+AU+4+SSR%22,,%22CBI+Interrogate+AU+4+SSR%22,107931
श्री राम,http://twitter.com/search?q=%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,,%22%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE%22,81161
Milkha Singh,http://twitter.com/search?q=%22Milkha+Singh%22,,%22Milkha+Singh%22,19064
Vetter,http://twitter.com/search?q=Vetter,,Vetter,11348
खेल रत्न,http://twitter.com/search?q=%22%E0%A4%96%E0%A5%87%E0%A4%B2+%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%22,,%22%E0%A4%96%E0%A5%87%E0%A4%B2+%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%22,82739
