name,url,promoted_content,query,tweet_volume
#INDvENG,http://twitter.com/search?q=%23INDvENG,,%23INDvENG,
Be Selfless Like Sushant,http://twitter.com/search?q=%22Be+Selfless+Like+Sushant%22,,%22Be+Selfless+Like+Sushant%22,67674
#RememberingKalaignar,http://twitter.com/search?q=%23RememberingKalaignar,,%23RememberingKalaignar,12512
#SabkoVaccineMuftVaccine,http://twitter.com/search?q=%23SabkoVaccineMuftVaccine,,%23SabkoVaccineMuftVaccine,19921
#BANvAUS,http://twitter.com/search?q=%23BANvAUS,,%23BANvAUS,12170
#NavarasaFilms,http://twitter.com/search?q=%23NavarasaFilms,,%23NavarasaFilms,
HAPPY 8900 DAYS LISA,http://twitter.com/search?q=%22HAPPY+8900+DAYS+LISA%22,,%22HAPPY+8900+DAYS+LISA%22,56952
Gandhi,http://twitter.com/search?q=Gandhi,,Gandhi,145429
ONE AND HALF BILLION FOR V,http://twitter.com/search?q=%22ONE+AND+HALF+BILLION+FOR+V%22,,%22ONE+AND+HALF+BILLION+FOR+V%22,153838
ONE YEAR WITH TREASURE,http://twitter.com/search?q=%22ONE+YEAR+WITH+TREASURE%22,,%22ONE+YEAR+WITH+TREASURE%22,1380808
Bumrah,http://twitter.com/search?q=Bumrah,,Bumrah,10831
Nitish Bharadwaj,http://twitter.com/search?q=%22Nitish+Bharadwaj%22,,%22Nitish+Bharadwaj%22,
Neymar,http://twitter.com/search?q=Neymar,,Neymar,230547
मेजर ध्यानचंद,http://twitter.com/search?q=%22%E0%A4%AE%E0%A5%87%E0%A4%9C%E0%A4%B0+%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%9A%E0%A4%82%E0%A4%A6%22,,%22%E0%A4%AE%E0%A5%87%E0%A4%9C%E0%A4%B0+%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%9A%E0%A4%82%E0%A4%A6%22,166928
राजीव गांधी,http://twitter.com/search?q=%22%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%80%E0%A4%B5+%E0%A4%97%E0%A4%BE%E0%A4%82%E0%A4%A7%E0%A5%80%22,,%22%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%80%E0%A4%B5+%E0%A4%97%E0%A4%BE%E0%A4%82%E0%A4%A7%E0%A5%80%22,108764
Motera,http://twitter.com/search?q=Motera,,Motera,
Ramos,http://twitter.com/search?q=Ramos,,Ramos,149677
