name,url,promoted_content,query,tweet_volume
#INDvENG,http://twitter.com/search?q=%23INDvENG,,%23INDvENG,15851
#33YearsOfSalmanKhanEra,http://twitter.com/search?q=%2333YearsOfSalmanKhanEra,,%2333YearsOfSalmanKhanEra,80721
Kohli,http://twitter.com/search?q=Kohli,,Kohli,55021
England,http://twitter.com/search?q=England,,England,104820
WE LOVE SIDHARTH SHUKLA,http://twitter.com/search?q=%22WE+LOVE+SIDHARTH+SHUKLA%22,,%22WE+LOVE+SIDHARTH+SHUKLA%22,37051
Rahane,http://twitter.com/search?q=Rahane,,Rahane,
Rohit,http://twitter.com/search?q=Rohit,,Rohit,29270
#ZeeshanKhan,http://twitter.com/search?q=%23ZeeshanKhan,,%23ZeeshanKhan,13704
#JanasenaniBDayCDPGlimpse,http://twitter.com/search?q=%23JanasenaniBDayCDPGlimpse,,%23JanasenaniBDayCDPGlimpse,56528
Anderson,http://twitter.com/search?q=Anderson,,Anderson,48054
#சட்டசபை_நேரடி_ஒளிபரப்பு,http://twitter.com/search?q=%23%E0%AE%9A%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%9A%E0%AE%AA%E0%AF%88_%E0%AE%A8%E0%AF%87%E0%AE%B0%E0%AE%9F%E0%AE%BF_%E0%AE%92%E0%AE%B3%E0%AE%BF%E0%AE%AA%E0%AE%B0%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81,,%23%E0%AE%9A%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AE%9A%E0%AE%AA%E0%AF%88_%E0%AE%A8%E0%AF%87%E0%AE%B0%E0%AE%9F%E0%AE%BF_%E0%AE%92%E0%AE%B3%E0%AE%BF%E0%AE%AA%E0%AE%B0%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81,
Kerala,http://twitter.com/search?q=Kerala,,Kerala,35740
Ishant,http://twitter.com/search?q=Ishant,,Ishant,
Barmer,http://twitter.com/search?q=Barmer,,Barmer,
MiG-21,http://twitter.com/search?q=MiG-21,,MiG-21,
Levy,http://twitter.com/search?q=Levy,,Levy,25808
Shami and Bumrah,http://twitter.com/search?q=%22Shami+and+Bumrah%22,,%22Shami+and+Bumrah%22,
Buttler,http://twitter.com/search?q=Buttler,,Buttler,
Leonardo,http://twitter.com/search?q=Leonardo,,Leonardo,61753
Kane,http://twitter.com/search?q=Kane,,Kane,92067
Jadeja,http://twitter.com/search?q=Jadeja,,Jadeja,
Mayank,http://twitter.com/search?q=Mayank,,Mayank,
Sam Curran,http://twitter.com/search?q=%22Sam+Curran%22,,%22Sam+Curran%22,
Innings,http://twitter.com/search?q=Innings,,Innings,19665
Overton,http://twitter.com/search?q=Overton,,Overton,
Adelaide,http://twitter.com/search?q=Adelaide,,Adelaide,
Robinson,http://twitter.com/search?q=Robinson,,Robinson,20826
Batting,http://twitter.com/search?q=Batting,,Batting,16466
Toss,http://twitter.com/search?q=Toss,,Toss,26362
bumrah and shami,http://twitter.com/search?q=%22bumrah+and+shami%22,,%22bumrah+and+shami%22,
Sanjay Manjrekar,http://twitter.com/search?q=%22Sanjay+Manjrekar%22,,%22Sanjay+Manjrekar%22,
Vihari,http://twitter.com/search?q=Vihari,,Vihari,
Ashwin,http://twitter.com/search?q=Ashwin,,Ashwin,
50th Birthday CDP,http://twitter.com/search?q=%2250th+Birthday+CDP%22,,%2250th+Birthday+CDP%22,13616
Ronaldo to City,http://twitter.com/search?q=%22Ronaldo+to+City%22,,%22Ronaldo+to+City%22,39220
Chokli,http://twitter.com/search?q=Chokli,,Chokli,
KL Rahul,http://twitter.com/search?q=%22KL+Rahul%22,,%22KL+Rahul%22,
PURE BOND PRAKSHARA,http://twitter.com/search?q=%22PURE+BOND+PRAKSHARA%22,,%22PURE+BOND+PRAKSHARA%22,31084
Arshad Nadeem,http://twitter.com/search?q=%22Arshad+Nadeem%22,,%22Arshad+Nadeem%22,10232
Gavaskar,http://twitter.com/search?q=Gavaskar,,Gavaskar,
Captain,http://twitter.com/search?q=Captain,,Captain,114477
Javelin,http://twitter.com/search?q=Javelin,,Javelin,13090
Man City,http://twitter.com/search?q=%22Man+City%22,,%22Man+City%22,52307
Mbappe,http://twitter.com/search?q=Mbappe,,Mbappe,438243
Haaland,http://twitter.com/search?q=Haaland,,Haaland,43403
Gail Omvedt,http://twitter.com/search?q=%22Gail+Omvedt%22,,%22Gail+Omvedt%22,
#StandWithSristiJatav,http://twitter.com/search?q=%23StandWithSristiJatav,,%23StandWithSristiJatav,13839
#IndiaOnSale,http://twitter.com/search?q=%23IndiaOnSale,,%23IndiaOnSale,161342
#LeedsTest,http://twitter.com/search?q=%23LeedsTest,,%23LeedsTest,
#பயமா_முதல்வரே,http://twitter.com/search?q=%23%E0%AE%AA%E0%AE%AF%E0%AE%AE%E0%AE%BE_%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AF%87,,%23%E0%AE%AA%E0%AE%AF%E0%AE%AE%E0%AE%BE_%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AF%87,
