name,url,promoted_content,query,tweet_volume
#BoycottKFC,http://twitter.com/search?q=%23BoycottKFC,,%23BoycottKFC,32657
#ArabicKuthu,http://twitter.com/search?q=%23ArabicKuthu,,%23ArabicKuthu,154540
#boycottpizzahut,http://twitter.com/search?q=%23boycottpizzahut,,%23boycottpizzahut,14602
#BeastFirstSingle,http://twitter.com/search?q=%23BeastFirstSingle,,%23BeastFirstSingle,159929
ExtraordINary DAY,http://twitter.com/search?q=%22ExtraordINary+DAY%22,,%22ExtraordINary+DAY%22,148357
ABRARGUN IN JEEVANSATHI AD,http://twitter.com/search?q=%22ABRARGUN+IN+JEEVANSATHI+AD%22,,%22ABRARGUN+IN+JEEVANSATHI+AD%22,
Opinion Poll With Pradeep,http://twitter.com/search?q=%22Opinion+Poll+With+Pradeep%22,,%22Opinion+Poll+With+Pradeep%22,
SUMEDH HITS 100K,http://twitter.com/search?q=%22SUMEDH+HITS+100K%22,,%22SUMEDH+HITS+100K%22,
Nelson,http://twitter.com/search?q=Nelson,,Nelson,33984
HAPPY BIRTHDAY KRIZBA,http://twitter.com/search?q=%22HAPPY+BIRTHDAY+KRIZBA%22,,%22HAPPY+BIRTHDAY+KRIZBA%22,
Dera Sacha Sauda,http://twitter.com/search?q=%22Dera+Sacha+Sauda%22,,%22Dera+Sacha+Sauda%22,
Alto,http://twitter.com/search?q=Alto,,Alto,87399
MNCs,http://twitter.com/search?q=MNCs,,MNCs,
Android 11,http://twitter.com/search?q=%22Android+11%22,,%22Android+11%22,
Ahmedabad Titans,http://twitter.com/search?q=%22Ahmedabad+Titans%22,,%22Ahmedabad+Titans%22,
Dortmund,http://twitter.com/search?q=Dortmund,,Dortmund,21036
Zendaya,http://twitter.com/search?q=Zendaya,,Zendaya,379889
Cassie,http://twitter.com/search?q=Cassie,,Cassie,410530
VC of JNU,http://twitter.com/search?q=%22VC+of+JNU%22,,%22VC+of+JNU%22,
maddy,http://twitter.com/search?q=maddy,,maddy,215606
y ssr flatmates not in custody,http://twitter.com/search?q=%22y+ssr+flatmates+not+in+custody%22,,%22y+ssr+flatmates+not+in+custody%22,46665
#YogiDobara,http://twitter.com/search?q=%23YogiDobara,,%23YogiDobara,
#asksumedh100kspecial,http://twitter.com/search?q=%23asksumedh100kspecial,,%23asksumedh100kspecial,
