name,url,promoted_content,query,tweet_volume
#8YearsOfJANASENA,http://twitter.com/search?q=%238YearsOfJANASENA,,%238YearsOfJANASENA,15585
#ThankYouBTS,http://twitter.com/search?q=%23ThankYouBTS,,%23ThankYouBTS,60598
#AkshayInCinemaMuseum,http://twitter.com/search?q=%23AkshayInCinemaMuseum,,%23AkshayInCinemaMuseum,
#DemocracyUnderThreat,http://twitter.com/search?q=%23DemocracyUnderThreat,,%23DemocracyUnderThreat,
#TheKashmirFiles,http://twitter.com/search?q=%23TheKashmirFiles,,%23TheKashmirFiles,701677
jungkook,http://twitter.com/search?q=jungkook,,jungkook,1612536
MORE POWER TO FAISUSQUAD,http://twitter.com/search?q=%22MORE+POWER+TO+FAISUSQUAD%22,,%22MORE+POWER+TO+FAISUSQUAD%22,11668
NAAGIN 6 RULING HEARTS,http://twitter.com/search?q=%22NAAGIN+6+RULING+HEARTS%22,,%22NAAGIN+6+RULING+HEARTS%22,57156
UMAR X JASMIN MV SOON,http://twitter.com/search?q=%22UMAR+X+JASMIN+MV+SOON%22,,%22UMAR+X+JASMIN+MV+SOON%22,260263
Chan,http://twitter.com/search?q=Chan,,Chan,391152
Spring Day,http://twitter.com/search?q=%22Spring+Day%22,,%22Spring+Day%22,149838
KHATRA WITH NISHANT,http://twitter.com/search?q=%22KHATRA+WITH+NISHANT%22,,%22KHATRA+WITH+NISHANT%22,32992
WE STAN SHAMITA,http://twitter.com/search?q=%22WE+STAN+SHAMITA%22,,%22WE+STAN+SHAMITA%22,68431
PRATIK ERA BEGINS,http://twitter.com/search?q=%22PRATIK+ERA+BEGINS%22,,%22PRATIK+ERA+BEGINS%22,512730
Kohli,http://twitter.com/search?q=Kohli,,Kohli,37285
Bollywood,http://twitter.com/search?q=Bollywood,,Bollywood,62193
Madhya Pradesh,http://twitter.com/search?q=%22Madhya+Pradesh%22,,%22Madhya+Pradesh%22,16007
IMDB,http://twitter.com/search?q=IMDB,,IMDB,24541
Yasin Malik,http://twitter.com/search?q=%22Yasin+Malik%22,,%22Yasin+Malik%22,22049
Asansol,http://twitter.com/search?q=Asansol,,Asansol,
who meddled ssr murder proofs,http://twitter.com/search?q=%22who+meddled+ssr+murder+proofs%22,,%22who+meddled+ssr+murder+proofs%22,36076
yoonmin,http://twitter.com/search?q=yoonmin,,yoonmin,99909
joon,http://twitter.com/search?q=joon,,joon,66997
Jagmohan,http://twitter.com/search?q=Jagmohan,,Jagmohan,
AICC,http://twitter.com/search?q=AICC,,AICC,
Jikook,http://twitter.com/search?q=Jikook,,Jikook,107463
CBI UNCOVER SSR MURDER PLOT,http://twitter.com/search?q=%22CBI+UNCOVER+SSR+MURDER+PLOT%22,,%22CBI+UNCOVER+SSR+MURDER+PLOT%22,45594
KIM TAEHYUNG,http://twitter.com/search?q=%22KIM+TAEHYUNG%22,,%22KIM+TAEHYUNG%22,259223
seokjin,http://twitter.com/search?q=seokjin,,seokjin,476337
Anupam Kher,http://twitter.com/search?q=%22Anupam+Kher%22,,%22Anupam+Kher%22,
VP Singh,http://twitter.com/search?q=%22VP+Singh%22,,%22VP+Singh%22,
कपिल शर्मा,http://twitter.com/search?q=%22%E0%A4%95%E0%A4%AA%E0%A4%BF%E0%A4%B2+%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE%22,,%22%E0%A4%95%E0%A4%AA%E0%A4%BF%E0%A4%B2+%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE%22,36581
tax free,http://twitter.com/search?q=%22tax+free%22,,%22tax+free%22,35603
Bengali,http://twitter.com/search?q=Bengali,,Bengali,
Bangtan,http://twitter.com/search?q=Bangtan,,Bangtan,123504
Godhra,http://twitter.com/search?q=Godhra,,Godhra,
Akka,http://twitter.com/search?q=Akka,,Akka,
#RishabhPant,http://twitter.com/search?q=%23RishabhPant,,%23RishabhPant,
#MojCreatorsNotFound,http://twitter.com/search?q=%23MojCreatorsNotFound,,%23MojCreatorsNotFound,
#MostWANTED_BeastUpdate,http://twitter.com/search?q=%23MostWANTED_BeastUpdate,,%23MostWANTED_BeastUpdate,
#UniSoFlexi,http://twitter.com/search?q=%23UniSoFlexi,,%23UniSoFlexi,
#PTD_ON_STAGE_SEOUL_day3,http://twitter.com/search?q=%23PTD_ON_STAGE_SEOUL_day3,,%23PTD_ON_STAGE_SEOUL_day3,362992
#नही_पहना_हिजाब_उत्तर_में,http://twitter.com/search?q=%23%E0%A4%A8%E0%A4%B9%E0%A5%80_%E0%A4%AA%E0%A4%B9%E0%A4%A8%E0%A4%BE_%E0%A4%B9%E0%A4%BF%E0%A4%9C%E0%A4%BE%E0%A4%AC_%E0%A4%89%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%B0_%E0%A4%AE%E0%A5%87%E0%A4%82,,%23%E0%A4%A8%E0%A4%B9%E0%A5%80_%E0%A4%AA%E0%A4%B9%E0%A4%A8%E0%A4%BE_%E0%A4%B9%E0%A4%BF%E0%A4%9C%E0%A4%BE%E0%A4%AC_%E0%A4%89%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%B0_%E0%A4%AE%E0%A5%87%E0%A4%82,
#INDvsSL,http://twitter.com/search?q=%23INDvsSL,,%23INDvsSL,18001
#FIRonPrime,http://twitter.com/search?q=%23FIRonPrime,,%23FIRonPrime,
#SaveSoil,http://twitter.com/search?q=%23SaveSoil,,%23SaveSoil,33671
#ViswasamOnSunTV,http://twitter.com/search?q=%23ViswasamOnSunTV,,%23ViswasamOnSunTV,
#CWCMeeting,http://twitter.com/search?q=%23CWCMeeting,,%23CWCMeeting,
#KamleTeaserOut,http://twitter.com/search?q=%23KamleTeaserOut,,%23KamleTeaserOut,15242
#VetagaduVachenthavaRRRake,http://twitter.com/search?q=%23VetagaduVachenthavaRRRake,,%23VetagaduVachenthavaRRRake,27103
