name,url,promoted_content,query,tweet_volume
#WorldWaterDay,http://twitter.com/search?q=%23WorldWaterDay,,%23WorldWaterDay,167163
#SaveWater,http://twitter.com/search?q=%23SaveWater,,%23SaveWater,17226
NGE REMOVE SAMJI FROM KEKD,http://twitter.com/search?q=%22NGE+REMOVE+SAMJI+FROM+KEKD%22,,%22NGE+REMOVE+SAMJI+FROM+KEKD%22,58351
SSR Fudge BFF,http://twitter.com/search?q=%22SSR+Fudge+BFF%22,,%22SSR+Fudge+BFF%22,35040
Bengal,http://twitter.com/search?q=Bengal,,Bengal,59174
#GoldenYunhoDay,http://twitter.com/search?q=%23GoldenYunhoDay,,%23GoldenYunhoDay,141554
#morecricketwithtimesprime,http://twitter.com/search?q=%23morecricketwithtimesprime,,%23morecricketwithtimesprime,
#행복이_윤호야_생일축하튜,http://twitter.com/search?q=%23%ED%96%89%EB%B3%B5%EC%9D%B4_%EC%9C%A4%ED%98%B8%EC%95%BC_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%8A%9C,,%23%ED%96%89%EB%B3%B5%EC%9D%B4_%EC%9C%A4%ED%98%B8%EC%95%BC_%EC%83%9D%EC%9D%BC%EC%B6%95%ED%95%98%ED%8A%9C,139531
THE GRAND KAIRA VIVAAH,http://twitter.com/search?q=%22THE+GRAND+KAIRA+VIVAAH%22,,%22THE+GRAND+KAIRA+VIVAAH%22,13176
taylor,http://twitter.com/search?q=taylor,,taylor,184625
RRR STORM FROM FRIDAY,http://twitter.com/search?q=%22RRR+STORM+FROM+FRIDAY%22,,%22RRR+STORM+FROM+FRIDAY%22,21871
Optical Image Stabilization,http://twitter.com/search?q=%22Optical+Image+Stabilization%22,,%22Optical+Image+Stabilization%22,
Pradeep Bhandari,http://twitter.com/search?q=%22Pradeep+Bhandari%22,,%22Pradeep+Bhandari%22,
renjun,http://twitter.com/search?q=renjun,,renjun,902956
Rampurhat,http://twitter.com/search?q=Rampurhat,,Rampurhat,16434
Mamata,http://twitter.com/search?q=Mamata,,Mamata,11260
Centre,http://twitter.com/search?q=Centre,,Centre,86261
BTS Heardle,http://twitter.com/search?q=%22BTS+Heardle%22,,%22BTS+Heardle%22,24629
Bahrain,http://twitter.com/search?q=Bahrain,,Bahrain,14387
REET,http://twitter.com/search?q=REET,,REET,41756
SSR Autopsy Botched Up,http://twitter.com/search?q=%22SSR+Autopsy+Botched+Up%22,,%22SSR+Autopsy+Botched+Up%22,155103
Lok Sabha,http://twitter.com/search?q=%22Lok+Sabha%22,,%22Lok+Sabha%22,10468
#Birbhum,http://twitter.com/search?q=%23Birbhum,,%23Birbhum,
#NoToRicketts,http://twitter.com/search?q=%23NoToRicketts,,%23NoToRicketts,47083
#KGFFandom,http://twitter.com/search?q=%23KGFFandom,,%23KGFFandom,17890
#KairaKaKairana,http://twitter.com/search?q=%23KairaKaKairana,,%23KairaKaKairana,13933
#DixcyScottChhaGaya,http://twitter.com/search?q=%23DixcyScottChhaGaya,,%23DixcyScottChhaGaya,
#스물셋_봄에_꽃같은_런쥔이왔당,http://twitter.com/search?q=%23%EC%8A%A4%EB%AC%BC%EC%85%8B_%EB%B4%84%EC%97%90_%EA%BD%83%EA%B0%99%EC%9D%80_%EB%9F%B0%EC%A5%94%EC%9D%B4%EC%99%94%EB%8B%B9,,%23%EC%8A%A4%EB%AC%BC%EC%85%8B_%EB%B4%84%EC%97%90_%EA%BD%83%EA%B0%99%EC%9D%80_%EB%9F%B0%EC%A5%94%EC%9D%B4%EC%99%94%EB%8B%B9,459436
#10minutedelivery,http://twitter.com/search?q=%2310minutedelivery,,%2310minutedelivery,
#에이티즈,http://twitter.com/search?q=%23%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88,,%23%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88,232396
#BusinessProposalEp8,http://twitter.com/search?q=%23BusinessProposalEp8,,%23BusinessProposalEp8,73940
#Carolina,http://twitter.com/search?q=%23Carolina,,%23Carolina,
#Save_GirlsfromDMK,http://twitter.com/search?q=%23Save_GirlsfromDMK,,%23Save_GirlsfromDMK,48930
#FarooqAbdullah,http://twitter.com/search?q=%23FarooqAbdullah,,%23FarooqAbdullah,
#AlphonsePuthren,http://twitter.com/search?q=%23AlphonsePuthren,,%23AlphonsePuthren,
#galaxya53,http://twitter.com/search?q=%23galaxya53,,%23galaxya53,
#HBDLosliya,http://twitter.com/search?q=%23HBDLosliya,,%23HBDLosliya,12098
#JusticeForPoojaKumari,http://twitter.com/search?q=%23JusticeForPoojaKumari,,%23JusticeForPoojaKumari,51397
#RockyBhaiFandom,http://twitter.com/search?q=%23RockyBhaiFandom,,%23RockyBhaiFandom,16221
#NitinGadkari,http://twitter.com/search?q=%23NitinGadkari,,%23NitinGadkari,
#OICInPakistan,http://twitter.com/search?q=%23OICInPakistan,,%23OICInPakistan,137273
#TheKeralaStory,http://twitter.com/search?q=%23TheKeralaStory,,%23TheKeralaStory,
#ZomatoInstant,http://twitter.com/search?q=%23ZomatoInstant,,%23ZomatoInstant,
#PrithvirajSukumaran,http://twitter.com/search?q=%23PrithvirajSukumaran,,%23PrithvirajSukumaran,
#Nayanthara,http://twitter.com/search?q=%23Nayanthara,,%23Nayanthara,
#Monster,http://twitter.com/search?q=%23Monster,,%23Monster,14891
#BheemlaNayakOnHotstar,http://twitter.com/search?q=%23BheemlaNayakOnHotstar,,%23BheemlaNayakOnHotstar,
#RRRMoive,http://twitter.com/search?q=%23RRRMoive,,%23RRRMoive,15359
#ConektDubai,http://twitter.com/search?q=%23ConektDubai,,%23ConektDubai,
