name,url,promoted_content,query,tweet_volume
#iQOOZ6Pro,http://twitter.com/search?q=%23iQOOZ6Pro,,%23iQOOZ6Pro,
#Black6thMayAtBengal,http://twitter.com/search?q=%23Black6thMayAtBengal,,%23Black6thMayAtBengal,18310
#tajinderbagga,http://twitter.com/search?q=%23tajinderbagga,,%23tajinderbagga,23942
#BeARoadHero,http://twitter.com/search?q=%23BeARoadHero,,%23BeARoadHero,
#RaithuSangharshanaSabha,http://twitter.com/search?q=%23RaithuSangharshanaSabha,,%23RaithuSangharshanaSabha,
Ban Tv9,http://twitter.com/search?q=%22Ban+Tv9%22,,%22Ban+Tv9%22,
Punjab,http://twitter.com/search?q=Punjab,,Punjab,198162
MBTI,http://twitter.com/search?q=MBTI,,MBTI,188786
INFP,http://twitter.com/search?q=INFP,,INFP,49604
INFJ,http://twitter.com/search?q=INFJ,,INFJ,39827
Haryana,http://twitter.com/search?q=Haryana,,Haryana,48860
Delhi Police,http://twitter.com/search?q=%22Delhi+Police%22,,%22Delhi+Police%22,87127
hobi,http://twitter.com/search?q=hobi,,hobi,85999
GOT7,http://twitter.com/search?q=GOT7,,GOT7,1228239
INTP,http://twitter.com/search?q=INTP,,INTP,49466
Patriarchy,http://twitter.com/search?q=Patriarchy,,Patriarchy,12038
Kejriwal,http://twitter.com/search?q=Kejriwal,,Kejriwal,93319
Mindtree,http://twitter.com/search?q=Mindtree,,Mindtree,
RUN BTS,http://twitter.com/search?q=%22RUN+BTS%22,,%22RUN+BTS%22,27592
Tahir Hussain,http://twitter.com/search?q=%22Tahir+Hussain%22,,%22Tahir+Hussain%22,
पंजाब पुलिस,http://twitter.com/search?q=%22%E0%A4%AA%E0%A4%82%E0%A4%9C%E0%A4%BE%E0%A4%AC+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,,%22%E0%A4%AA%E0%A4%82%E0%A4%9C%E0%A4%BE%E0%A4%AC+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,194144
दिल्ली पुलिस,http://twitter.com/search?q=%22%E0%A4%A6%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%80+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,,%22%E0%A4%A6%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%80+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,113331
Wanda,http://twitter.com/search?q=Wanda,,Wanda,164341
Axis MF,http://twitter.com/search?q=%22Axis+MF%22,,%22Axis+MF%22,
हरियाणा पुलिस,http://twitter.com/search?q=%22%E0%A4%B9%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A3%E0%A4%BE+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,,%22%E0%A4%B9%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A3%E0%A4%BE+%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BF%E0%A4%B8%22,44755
Warangal,http://twitter.com/search?q=Warangal,,Warangal,
Jhope,http://twitter.com/search?q=Jhope,,Jhope,73278
arjun chowrasia,http://twitter.com/search?q=%22arjun+chowrasia%22,,%22arjun+chowrasia%22,10184
Arteta,http://twitter.com/search?q=Arteta,,Arteta,34843
Mumbai Police Role In SSR Case,http://twitter.com/search?q=%22Mumbai+Police+Role+In+SSR+Case%22,,%22Mumbai+Police+Role+In+SSR+Case%22,87561
Sam Raimi,http://twitter.com/search?q=%22Sam+Raimi%22,,%22Sam+Raimi%22,33446
B. AMOLED,http://twitter.com/search?q=%22B.+AMOLED%22,,%22B.+AMOLED%22,
Jignesh,http://twitter.com/search?q=Jignesh,,Jignesh,
seokjin,http://twitter.com/search?q=seokjin,,seokjin,140177
Kurukshetra,http://twitter.com/search?q=Kurukshetra,,Kurukshetra,12823
Assam Police,http://twitter.com/search?q=%22Assam+Police%22,,%22Assam+Police%22,
Amit Shah,http://twitter.com/search?q=%22Amit+Shah%22,,%22Amit+Shah%22,23727
mamta,http://twitter.com/search?q=mamta,,mamta,
BOYCOTT SURROGACY TRACK,http://twitter.com/search?q=%22BOYCOTT+SURROGACY+TRACK%22,,%22BOYCOTT+SURROGACY+TRACK%22,21502
Home Minister,http://twitter.com/search?q=%22Home+Minister%22,,%22Home+Minister%22,17519
#KomuramBheemudo,http://twitter.com/search?q=%23KomuramBheemudo,,%23KomuramBheemudo,76621
#MaMaMahesha,http://twitter.com/search?q=%23MaMaMahesha,,%23MaMaMahesha,70295
#SupportViswakSen,http://twitter.com/search?q=%23SupportViswakSen,,%23SupportViswakSen,
#KaalathukkumNeeVenum,http://twitter.com/search?q=%23KaalathukkumNeeVenum,,%23KaalathukkumNeeVenum,22769
#thehinduboy,http://twitter.com/search?q=%23thehinduboy,,%23thehinduboy,11481
#TheConversionMustWatch,http://twitter.com/search?q=%23TheConversionMustWatch,,%23TheConversionMustWatch,
#VendhuThanindhathuKaadu,http://twitter.com/search?q=%23VendhuThanindhathuKaadu,,%23VendhuThanindhathuKaadu,29387
#MultiverseOfMadness,http://twitter.com/search?q=%23MultiverseOfMadness,,%23MultiverseOfMadness,139258
#VirataParvam,http://twitter.com/search?q=%23VirataParvam,,%23VirataParvam,
#DonTrailer,http://twitter.com/search?q=%23DonTrailer,,%23DonTrailer,12066
