name,url,promoted_content,query,tweet_volume
#AskShreya,http://twitter.com/search?q=%23AskShreya,,%23AskShreya,
#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,51119
Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,61982
#Toofaan,http://twitter.com/search?q=%23Toofaan,,%23Toofaan,
#Vaazhl,http://twitter.com/search?q=%23Vaazhl,,%23Vaazhl,
#modibabaaur78chor,http://twitter.com/search?q=%23modibabaaur78chor,,%23modibabaaur78chor,28059
Layer3 Waitlist,http://twitter.com/search?q=%22Layer3+Waitlist%22,,%22Layer3+Waitlist%22,
Varane,http://twitter.com/search?q=Varane,,Varane,49498
Devi,http://twitter.com/search?q=Devi,,Devi,30734
Tipu Sultan,http://twitter.com/search?q=%22Tipu+Sultan%22,,%22Tipu+Sultan%22,11868
Steam Deck,http://twitter.com/search?q=%22Steam+Deck%22,,%22Steam+Deck%22,67596
CONGRATULATIONS NAMJOON,http://twitter.com/search?q=%22CONGRATULATIONS+NAMJOON%22,,%22CONGRATULATIONS+NAMJOON%22,61776
Taliban,http://twitter.com/search?q=Taliban,,Taliban,78689
ariana,http://twitter.com/search?q=ariana,,ariana,80812
Nintendo,http://twitter.com/search?q=Nintendo,,Nintendo,144143
nhrc,http://twitter.com/search?q=nhrc,,nhrc,19822
Afghanistan,http://twitter.com/search?q=Afghanistan,,Afghanistan,92614
Rs 75,000,http://twitter.com/search?q=%22Rs+75%2C000%22,,%22Rs+75%2C000%22,
Pakistan,http://twitter.com/search?q=Pakistan,,Pakistan,132254
Ek Tarfa,http://twitter.com/search?q=%22Ek+Tarfa%22,,%22Ek+Tarfa%22,19514
Paxton,http://twitter.com/search?q=Paxton,,Paxton,19717
Maguire,http://twitter.com/search?q=Maguire,,Maguire,13962
Spotify,http://twitter.com/search?q=Spotify,,Spotify,775237
Neend,http://twitter.com/search?q=Neend,,Neend,
Quran Sharif,http://twitter.com/search?q=%22Quran+Sharif%22,,%22Quran+Sharif%22,57713
Sancho,http://twitter.com/search?q=Sancho,,Sancho,50317
ZNMD,http://twitter.com/search?q=ZNMD,,ZNMD,
Kabir,http://twitter.com/search?q=Kabir,,Kabir,229020
Shakira,http://twitter.com/search?q=Shakira,,Shakira,41107
Yessss,http://twitter.com/search?q=Yessss,,Yessss,19869
John Mayer,http://twitter.com/search?q=%22John+Mayer%22,,%22John+Mayer%22,
Lata Mangeshkar,http://twitter.com/search?q=%22Lata+Mangeshkar%22,,%22Lata+Mangeshkar%22,
Trump,http://twitter.com/search?q=Trump,,Trump,967991
Michael,http://twitter.com/search?q=Michael,,Michael,215323
Kanye,http://twitter.com/search?q=Kanye,,Kanye,31623
Rishikesh,http://twitter.com/search?q=Rishikesh,,Rishikesh,
Luke,http://twitter.com/search?q=Luke,,Luke,48774
Raat,http://twitter.com/search?q=Raat,,Raat,
Haan,http://twitter.com/search?q=Haan,,Haan,11550
May Allah,http://twitter.com/search?q=%22May+Allah%22,,%22May+Allah%22,25603
Kabul,http://twitter.com/search?q=Kabul,,Kabul,58244
Rana Ayyub,http://twitter.com/search?q=%22Rana+Ayyub%22,,%22Rana+Ayyub%22,
filmfare,http://twitter.com/search?q=filmfare,,filmfare,91795
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,39337
Taylor,http://twitter.com/search?q=Taylor,,Taylor,112072
Arsenal,http://twitter.com/search?q=Arsenal,,Arsenal,80781
Tessa,http://twitter.com/search?q=Tessa,,Tessa,
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,%22Pied+Piper%22,
Madrid,http://twitter.com/search?q=Madrid,,Madrid,205591
Mubarak,http://twitter.com/search?q=Mubarak,,Mubarak,
