name,url,promoted_content,query,tweet_volume
#AskShreya,http://twitter.com/search?q=%23AskShreya,,%23AskShreya,
#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,52723
#Toofaan,http://twitter.com/search?q=%23Toofaan,,%23Toofaan,
Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,63242
#vaazhl,http://twitter.com/search?q=%23vaazhl,,%23vaazhl,
Layer3 Waitlist,http://twitter.com/search?q=%22Layer3+Waitlist%22,,%22Layer3+Waitlist%22,
Varane,http://twitter.com/search?q=Varane,,Varane,50262
Devi,http://twitter.com/search?q=Devi,,Devi,31504
Steam Deck,http://twitter.com/search?q=%22Steam+Deck%22,,%22Steam+Deck%22,73278
Taliban,http://twitter.com/search?q=Taliban,,Taliban,77158
Nintendo,http://twitter.com/search?q=Nintendo,,Nintendo,144787
ariana,http://twitter.com/search?q=ariana,,ariana,79862
paxton,http://twitter.com/search?q=paxton,,paxton,20488
NHRC,http://twitter.com/search?q=NHRC,,NHRC,19966
Tipu,http://twitter.com/search?q=Tipu,,Tipu,20550
Rs 75,000,http://twitter.com/search?q=%22Rs+75%2C000%22,,%22Rs+75%2C000%22,
Ek Tarfa,http://twitter.com/search?q=%22Ek+Tarfa%22,,%22Ek+Tarfa%22,19515
Aouar,http://twitter.com/search?q=Aouar,,Aouar,
Pakistan,http://twitter.com/search?q=Pakistan,,Pakistan,131793
Maguire,http://twitter.com/search?q=Maguire,,Maguire,13785
Neend,http://twitter.com/search?q=Neend,,Neend,
Quran Sharif,http://twitter.com/search?q=%22Quran+Sharif%22,,%22Quran+Sharif%22,57735
Sancho,http://twitter.com/search?q=Sancho,,Sancho,49879
Spotify,http://twitter.com/search?q=Spotify,,Spotify,764904
Yessss,http://twitter.com/search?q=Yessss,,Yessss,19564
John Mayer,http://twitter.com/search?q=%22John+Mayer%22,,%22John+Mayer%22,
Trump,http://twitter.com/search?q=Trump,,Trump,972431
Michael,http://twitter.com/search?q=Michael,,Michael,211905
Kanye,http://twitter.com/search?q=Kanye,,Kanye,31426
rishikesh,http://twitter.com/search?q=rishikesh,,rishikesh,
Haan,http://twitter.com/search?q=Haan,,Haan,11494
Shakira,http://twitter.com/search?q=Shakira,,Shakira,41459
Kabul,http://twitter.com/search?q=Kabul,,Kabul,57854
Marcel,http://twitter.com/search?q=Marcel,,Marcel,
A23 Pro,http://twitter.com/search?q=%22A23+Pro%22,,%22A23+Pro%22,
filmfare,http://twitter.com/search?q=filmfare,,filmfare,92172
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,38215
taylor,http://twitter.com/search?q=taylor,,taylor,110387
Tessa,http://twitter.com/search?q=Tessa,,Tessa,
Kabir,http://twitter.com/search?q=Kabir,,Kabir,229092
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,%22Pied+Piper%22,
hozier,http://twitter.com/search?q=hozier,,hozier,
fahad,http://twitter.com/search?q=fahad,,fahad,31478
May Allah,http://twitter.com/search?q=%22May+Allah%22,,%22May+Allah%22,25244
Taste,http://twitter.com/search?q=Taste,,Taste,164170
Madrid,http://twitter.com/search?q=Madrid,,Madrid,200359
Rana Ayyub,http://twitter.com/search?q=%22Rana+Ayyub%22,,%22Rana+Ayyub%22,
Arsenal,http://twitter.com/search?q=Arsenal,,Arsenal,80664
#askshreya,http://twitter.com/search?q=%23askshreya,,%23askshreya,
#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,52769
Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,63241
#Toofaan,http://twitter.com/search?q=%23Toofaan,,%23Toofaan,
#Vaazhl,http://twitter.com/search?q=%23Vaazhl,,%23Vaazhl,
Layer3 Waitlist,http://twitter.com/search?q=%22Layer3+Waitlist%22,,%22Layer3+Waitlist%22,
Varane,http://twitter.com/search?q=Varane,,Varane,50309
Devi,http://twitter.com/search?q=Devi,,Devi,31508
Steam Deck,http://twitter.com/search?q=%22Steam+Deck%22,,%22Steam+Deck%22,73519
Taliban,http://twitter.com/search?q=Taliban,,Taliban,77234
NHRC,http://twitter.com/search?q=NHRC,,NHRC,19965
Nintendo,http://twitter.com/search?q=Nintendo,,Nintendo,144830
Paxton,http://twitter.com/search?q=Paxton,,Paxton,20526
Afghanistan,http://twitter.com/search?q=Afghanistan,,Afghanistan,90422
ariana,http://twitter.com/search?q=ariana,,ariana,79982
Tipu,http://twitter.com/search?q=Tipu,,Tipu,20548
Rs 75,000,http://twitter.com/search?q=%22Rs+75%2C000%22,,%22Rs+75%2C000%22,
Aouar,http://twitter.com/search?q=Aouar,,Aouar,
EK TARFA,http://twitter.com/search?q=%22EK+TARFA%22,,%22EK+TARFA%22,19514
Pakistan,http://twitter.com/search?q=Pakistan,,Pakistan,131840
Maguire,http://twitter.com/search?q=Maguire,,Maguire,13794
Neend,http://twitter.com/search?q=Neend,,Neend,
quran sharif,http://twitter.com/search?q=%22quran+sharif%22,,%22quran+sharif%22,57735
Spotify,http://twitter.com/search?q=Spotify,,Spotify,765653
Sancho,http://twitter.com/search?q=Sancho,,Sancho,49898
Shakira,http://twitter.com/search?q=Shakira,,Shakira,41539
john mayer,http://twitter.com/search?q=%22john+mayer%22,,%22john+mayer%22,
Malik,http://twitter.com/search?q=Malik,,Malik,43679
Trump,http://twitter.com/search?q=Trump,,Trump,973393
Rishikesh,http://twitter.com/search?q=Rishikesh,,Rishikesh,
Yessss,http://twitter.com/search?q=Yessss,,Yessss,19597
Kabul,http://twitter.com/search?q=Kabul,,Kabul,57888
Filmfare,http://twitter.com/search?q=Filmfare,,Filmfare,92184
Rakesh Sharma,http://twitter.com/search?q=%22Rakesh+Sharma%22,,%22Rakesh+Sharma%22,
A23 Pro,http://twitter.com/search?q=%22A23+Pro%22,,%22A23+Pro%22,
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,38272
Kanye,http://twitter.com/search?q=Kanye,,Kanye,31464
Marcel,http://twitter.com/search?q=Marcel,,Marcel,
De Gea,http://twitter.com/search?q=%22De+Gea%22,,%22De+Gea%22,
Michael,http://twitter.com/search?q=Michael,,Michael,212081
Taylor,http://twitter.com/search?q=Taylor,,Taylor,110528
Haan,http://twitter.com/search?q=Haan,,Haan,11497
Tessa,http://twitter.com/search?q=Tessa,,Tessa,
Spin Boldak,http://twitter.com/search?q=%22Spin+Boldak%22,,%22Spin+Boldak%22,
Rana Ayyub,http://twitter.com/search?q=%22Rana+Ayyub%22,,%22Rana+Ayyub%22,
kabir,http://twitter.com/search?q=kabir,,kabir,229098
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,%22Pied+Piper%22,
Madrid,http://twitter.com/search?q=Madrid,,Madrid,200693
Hozier,http://twitter.com/search?q=Hozier,,Hozier,
