name,url,promoted_content,query,tweet_volume
#AskShreya,http://twitter.com/search?q=%23AskShreya,,%23AskShreya,
#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,51119
Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,62013
#Toofaan,http://twitter.com/search?q=%23Toofaan,,%23Toofaan,
#Vaazhl,http://twitter.com/search?q=%23Vaazhl,,%23Vaazhl,
Layer3 Waitlist,http://twitter.com/search?q=%22Layer3+Waitlist%22,,%22Layer3+Waitlist%22,
Varane,http://twitter.com/search?q=Varane,,Varane,49498
Devi,http://twitter.com/search?q=Devi,,Devi,30734
Tipu Sultan,http://twitter.com/search?q=%22Tipu+Sultan%22,,%22Tipu+Sultan%22,11869
Steam Deck,http://twitter.com/search?q=%22Steam+Deck%22,,%22Steam+Deck%22,67596
CONGRATULATIONS NAMJOON,http://twitter.com/search?q=%22CONGRATULATIONS+NAMJOON%22,,%22CONGRATULATIONS+NAMJOON%22,61776
Taliban,http://twitter.com/search?q=Taliban,,Taliban,78689
ariana,http://twitter.com/search?q=ariana,,ariana,80812
Nintendo,http://twitter.com/search?q=Nintendo,,Nintendo,144143
nhrc,http://twitter.com/search?q=nhrc,,nhrc,19829
Afghanistan,http://twitter.com/search?q=Afghanistan,,Afghanistan,92614
Pakistan,http://twitter.com/search?q=Pakistan,,Pakistan,132289
Rs 75,000,http://twitter.com/search?q=%22Rs+75%2C000%22,,%22Rs+75%2C000%22,
Ek Tarfa,http://twitter.com/search?q=%22Ek+Tarfa%22,,%22Ek+Tarfa%22,19514
Paxton,http://twitter.com/search?q=Paxton,,Paxton,19717
Maguire,http://twitter.com/search?q=Maguire,,Maguire,13962
Spotify,http://twitter.com/search?q=Spotify,,Spotify,775593
Neend,http://twitter.com/search?q=Neend,,Neend,
Quran Sharif,http://twitter.com/search?q=%22Quran+Sharif%22,,%22Quran+Sharif%22,57715
Sancho,http://twitter.com/search?q=Sancho,,Sancho,50317
ZNMD,http://twitter.com/search?q=ZNMD,,ZNMD,
Kabir,http://twitter.com/search?q=Kabir,,Kabir,229024
Shakira,http://twitter.com/search?q=Shakira,,Shakira,41107
Yessss,http://twitter.com/search?q=Yessss,,Yessss,19877
John Mayer,http://twitter.com/search?q=%22John+Mayer%22,,%22John+Mayer%22,
Lata Mangeshkar,http://twitter.com/search?q=%22Lata+Mangeshkar%22,,%22Lata+Mangeshkar%22,
Aouar,http://twitter.com/search?q=Aouar,,Aouar,
Trump,http://twitter.com/search?q=Trump,,Trump,967991
Michael,http://twitter.com/search?q=Michael,,Michael,215246
Kanye,http://twitter.com/search?q=Kanye,,Kanye,31623
rishikesh,http://twitter.com/search?q=rishikesh,,rishikesh,
Luke,http://twitter.com/search?q=Luke,,Luke,48729
Raat,http://twitter.com/search?q=Raat,,Raat,
Haan,http://twitter.com/search?q=Haan,,Haan,11549
May Allah,http://twitter.com/search?q=%22May+Allah%22,,%22May+Allah%22,25603
Kabul,http://twitter.com/search?q=Kabul,,Kabul,58288
Rana Ayyub,http://twitter.com/search?q=%22Rana+Ayyub%22,,%22Rana+Ayyub%22,
filmfare,http://twitter.com/search?q=filmfare,,filmfare,91809
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,39337
Taylor,http://twitter.com/search?q=Taylor,,Taylor,112072
Arsenal,http://twitter.com/search?q=Arsenal,,Arsenal,80781
Tessa,http://twitter.com/search?q=Tessa,,Tessa,
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,%22Pied+Piper%22,
Taste,http://twitter.com/search?q=Taste,,Taste,167600
