name,url,promoted_content,query,tweet_volume
#askshreya,http://twitter.com/search?q=%23askshreya,,%23askshreya,
#HBDKatrinaKaif,http://twitter.com/search?q=%23HBDKatrinaKaif,,%23HBDKatrinaKaif,51126
Pray 4 SSRians Who Left World,http://twitter.com/search?q=%22Pray+4+SSRians+Who+Left+World%22,,%22Pray+4+SSRians+Who+Left+World%22,61984
#Toofaan,http://twitter.com/search?q=%23Toofaan,,%23Toofaan,
#Vaazhl,http://twitter.com/search?q=%23Vaazhl,,%23Vaazhl,
Layer3 Waitlist,http://twitter.com/search?q=%22Layer3+Waitlist%22,,%22Layer3+Waitlist%22,
Varane,http://twitter.com/search?q=Varane,,Varane,49496
Tipu Sultan,http://twitter.com/search?q=%22Tipu+Sultan%22,,%22Tipu+Sultan%22,11865
Devi,http://twitter.com/search?q=Devi,,Devi,30727
Steam Deck,http://twitter.com/search?q=%22Steam+Deck%22,,%22Steam+Deck%22,67567
CONGRATULATIONS NAMJOON,http://twitter.com/search?q=%22CONGRATULATIONS+NAMJOON%22,,%22CONGRATULATIONS+NAMJOON%22,61754
Taliban,http://twitter.com/search?q=Taliban,,Taliban,78682
nhrc,http://twitter.com/search?q=nhrc,,nhrc,19825
Nintendo,http://twitter.com/search?q=Nintendo,,Nintendo,144127
ariana,http://twitter.com/search?q=ariana,,ariana,80804
Afghanistan,http://twitter.com/search?q=Afghanistan,,Afghanistan,92602
Rs 75,000,http://twitter.com/search?q=%22Rs+75%2C000%22,,%22Rs+75%2C000%22,
Pakistan,http://twitter.com/search?q=Pakistan,,Pakistan,132248
Paxton,http://twitter.com/search?q=Paxton,,Paxton,19703
EK TARFA,http://twitter.com/search?q=%22EK+TARFA%22,,%22EK+TARFA%22,19513
Maguire,http://twitter.com/search?q=Maguire,,Maguire,13963
kabir,http://twitter.com/search?q=kabir,,kabir,229021
Neend,http://twitter.com/search?q=Neend,,Neend,
ZNMD,http://twitter.com/search?q=ZNMD,,ZNMD,
Spotify,http://twitter.com/search?q=Spotify,,Spotify,775048
quran sharif,http://twitter.com/search?q=%22quran+sharif%22,,%22quran+sharif%22,57713
Sancho,http://twitter.com/search?q=Sancho,,Sancho,50294
Shakira,http://twitter.com/search?q=Shakira,,Shakira,41134
John Mayer,http://twitter.com/search?q=%22John+Mayer%22,,%22John+Mayer%22,
Malik,http://twitter.com/search?q=Malik,,Malik,44364
Lata Mangeshkar,http://twitter.com/search?q=%22Lata+Mangeshkar%22,,%22Lata+Mangeshkar%22,
Rishikesh,http://twitter.com/search?q=Rishikesh,,Rishikesh,
Aouar,http://twitter.com/search?q=Aouar,,Aouar,
Yessss,http://twitter.com/search?q=Yessss,,Yessss,19876
Trump,http://twitter.com/search?q=Trump,,Trump,968329
Raat,http://twitter.com/search?q=Raat,,Raat,
Rana Ayyub,http://twitter.com/search?q=%22Rana+Ayyub%22,,%22Rana+Ayyub%22,
Kabul,http://twitter.com/search?q=Kabul,,Kabul,58269
Filmfare,http://twitter.com/search?q=Filmfare,,Filmfare,91799
Kanye,http://twitter.com/search?q=Kanye,,Kanye,31632
De Gea,http://twitter.com/search?q=%22De+Gea%22,,%22De+Gea%22,
May Allah,http://twitter.com/search?q=%22May+Allah%22,,%22May+Allah%22,25601
Michael,http://twitter.com/search?q=Michael,,Michael,215332
Taylor,http://twitter.com/search?q=Taylor,,Taylor,112057
Haan,http://twitter.com/search?q=Haan,,Haan,11553
Liverpool,http://twitter.com/search?q=Liverpool,,Liverpool,39327
Tessa,http://twitter.com/search?q=Tessa,,Tessa,
Arsenal,http://twitter.com/search?q=Arsenal,,Arsenal,80652
Pied Piper,http://twitter.com/search?q=%22Pied+Piper%22,,%22Pied+Piper%22,
